SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE https://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
PAST SALE,,Townhouse,5847 Arizona Ave,Baltimore,MD,21206,155000,,1.5,,1644,4067,1960,,94,,,,,https://www.redfin.com/MD/Baltimore/5847-Arizona-Ave-21206/home/11118017,,,N,Y,39.3356861,-76.535377
PAST SALE,,Townhouse,614 Markham Rd,Baltimore,MD,21229,162000,,1.0,,1260,2016,1965,,129,,,,,https://www.redfin.com/MD/Baltimore/614-Markham-Rd-21229/home/11032180,,,N,Y,39.2738057,-76.6971341
PAST SALE,June-19-2020,Townhouse,6663 Walnutwood Cir,Baltimore,MD,21212,475000,3,3.5,CHARLESBROOKE AT PINEHU,3134,5328,1980,,152,204,Sold,,,https://www.redfin.com/MD/Baltimore/6663-Walnutwood-Cir-21212/home/9675736,BRIGHT MLS,MDBC475862,N,Y,39.3761473,-76.6207154
PAST SALE,April-20-2021,Townhouse,1629 Ashland Ave,Baltimore,MD,21205,205500,3,2.5,Ward 7,,2178,1974,,,,Sold,,,https://www.redfin.com/MD/Baltimore/1629-Ashland-Ave-21205/home/10768403,BRIGHT MLS,MDBA538336,N,Y,39.3002688,-76.5950894
PAST SALE,April-9-2021,Townhouse,6816 Boston Ave,Baltimore,MD,21222,190000,3,2.0,Ward 26,1677,3484,1970,,113,,Sold,,,https://www.redfin.com/MD/Baltimore/6816-Boston-Ave-21222/home/11063072,BRIGHT MLS,MDBA539308,N,Y,39.2806051,-76.5301314
PAST SALE,,Condo/Co-op,2216 Deerfern Cres,Baltimore,MD,21209,165000,,,,1305,,,,126,,,,,https://www.redfin.com/MD/Baltimore/2216-Deerfern-Cres-21209/home/11212389,,,N,Y,39.3489005,-76.6560864
PAST SALE,,Townhouse,111 Fireside Cir,Baltimore,MD,21212,330000,,2.5,,1920,2208,1979,,172,,,,,https://www.redfin.com/MD/Baltimore/111-Fireside-Cir-21212/home/11212065,,,N,Y,39.3680681,-76.6213531
PAST SALE,,Townhouse,900 S Hanover St,Baltimore,MD,21230,329900,,2.0,,1980,1003,1860,,167,,,,,https://www.redfin.com/MD/Baltimore/900-S-Hanover-St-21230/home/11008369,,,N,Y,39.2788112,-76.6158975
PAST SALE,,Townhouse,2135 Koko Ln,Baltimore,MD,21216,85000,,,,512,1408,1960,,166,,,,,https://www.redfin.com/MD/Baltimore/2135-Koko-Ln-21216/home/10889585,,,N,Y,39.3122902,-76.6630531
PAST SALE,January-5-2021,Townhouse,4837 Melbourne Rd,Baltimore,MD,21229,139000,3,1.5,Ward 25,1260,3041,1965,,110,,Sold,,,https://www.redfin.com/MD/Baltimore/4837-Melbourne-Rd-21229/home/11033167,BRIGHT MLS,MDBA530888,N,Y,39.2728966,-76.6985774
PAST SALE,,Townhouse,5903 Arizona Ave,Baltimore,MD,21206,142700,,1.0,,1440,1816,1960,,99,,,,,https://www.redfin.com/MD/Baltimore/5903-Arizona-Ave-21206/home/11118286,,,N,Y,39.3359529,-76.5344286
PAST SALE,December-4-2020,Townhouse,1237 Knightswood Rd,Baltimore,MD,21239,225000,3,1.5,GLENMONT,1234,5544,1961,,182,,Sold,,,https://www.redfin.com/MD/Baltimore/1237-Knightswood-Rd-21239/home/9671573,BRIGHT MLS,MDBC503738,N,Y,39.3836084,-76.5859819
PAST SALE,September-24-2020,Single Family Residential,6909 Banbury Rd,Baltimore,MD,21239,315000,3,2.0,IDLEWYLDE,1547,9751,1961,,204,,Sold,,,https://www.redfin.com/MD/Baltimore/6909-Banbury-Rd-21239/home/9643060,BRIGHT MLS,MDBC503094,N,Y,39.3777469,-76.5969289
PAST SALE,December-18-2020,Townhouse,5703 Utrecht Rd,Baltimore,MD,21206,165000,3,1.5,HAZELWOOD,1334,2120,1964,,124,,Sold,,,https://www.redfin.com/MD/Baltimore/5703-Utrecht-Rd-21206/home/9400127,BRIGHT MLS,MDBC500774,N,Y,39.3374782,-76.5262314
PAST SALE,July-15-2020,Single Family Residential,3225 Glendale Ave,Parkville,MD,21234,223000,3,1.0,Ward 27,1000,7497,1960,,223,,Sold,,,https://www.redfin.com/MD/Baltimore/3225-Glendale-Ave-21234/home/11136522,BRIGHT MLS,MDBC499064,N,Y,39.3675886,-76.540085
PAST SALE,,Townhouse,5780 Utrecht Rd,Baltimore,MD,21206,175000,,1.5,,1628,2230,1965,,107,,,,,https://www.redfin.com/MD/Baltimore/5780-Utrecht-Rd-21206/home/9407345,,,N,Y,39.339135,-76.524686
PAST SALE,October-13-2020,Townhouse,6918 Blanche Rd,Baltimore,MD,21215,150000,3,1.5,MILBROOK,1350,2070,1963,,111,,Sold,,,https://www.redfin.com/MD/Baltimore/6918-Blanche-Rd-21215/home/9532237,BRIGHT MLS,MDBC503984,N,Y,39.3585454,-76.7130099
