SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE https://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
PAST SALE,July-24-2020,Townhouse,15 Stablemere Ct,Baltimore,MD,21209,345000,3,2.5,SUMMIT CHASE,1980,3404,1989,,174,240,Sold,,,https://www.redfin.com/MD/Baltimore/15-Stablemere-Ct-21209/home/9549259,BRIGHT MLS,MDBC485538,N,Y,39.3808843,-76.6822
PAST SALE,December-17-2021,Single Family Residential,3904 Inner Cir,Baltimore,MD,21225,270000,3,2.0,Ward 25,1040,7687,1989,,260,,Sold,,,https://www.redfin.com/MD/Baltimore/3904-Inner-Cir-21225/home/11058275,BRIGHT MLS,MDBA2017994,N,Y,39.2300079,-76.592491
PAST SALE,,Townhouse,129 W Hamburg St,Baltimore,MD,21230,245000,3,2.0,,2010,1089,2000,,122,,,,,https://www.redfin.com/MD/Baltimore/129-W-Hamburg-St-21230/home/11221914,,,N,Y,39.27768026124255,-76.61684584882698
PAST SALE,September-24-2021,Townhouse,2132 Heritage Dr,Baltimore,MD,21209,313000,3,2.5,BROADVIEW,1712,1660,1989,,183,47,Sold,,,https://www.redfin.com/MD/Baltimore/2132-Heritage-Dr-21209/home/9548608,BRIGHT MLS,MDBC2004120,N,Y,39.3770955,-76.6661097
PAST SALE,,Townhouse,1433 E Baltimore St,Baltimore,MD,21231,240000,,2.5,,1548,1445,1994,,155,,,,,https://www.redfin.com/MD/Baltimore/1433-E-Baltimore-St-21231/home/10749681,,,N,Y,39.2912589,-76.5975933
PAST SALE,June-19-2020,Townhouse,6663 Walnutwood Cir,Baltimore,MD,21212,475000,3,3.5,CHARLESBROOKE AT PINEHU,3134,5328,1980,,152,204,Sold,,,https://www.redfin.com/MD/Baltimore/6663-Walnutwood-Cir-21212/home/9675736,BRIGHT MLS,MDBC475862,N,Y,39.3761473,-76.6207154
PAST SALE,September-25-2020,Townhouse,7210 Brookfalls Ter,Baltimore,MD,21209,277000,3,2.5,JONES VALLEY,1990,2040,1985,,139,75,Sold,,,https://www.redfin.com/MD/Baltimore/7210-Brookfalls-Ter-21209/home/9545068,BRIGHT MLS,MDBC502436,N,Y,39.383144,-76.666617
PAST SALE,,Townhouse,135 W Hamburg St,Baltimore,MD,21230,237500,,1.5,,2010,1045,2000,,118,,,,,https://www.redfin.com/MD/Baltimore/135-W-Hamburg-St-21230/home/11008972,,,N,Y,39.2777104,-76.6170483
PAST SALE,May-29-2020,Single Family Residential,5841 Daybreak Ter,Baltimore,MD,21206,331000,3,2.5,DAYBREAK ESTATES,2813,7056,1986,,118,,Sold,,,https://www.redfin.com/MD/Baltimore/5841-Daybreak-Ter-21206/home/9420779,BRIGHT MLS,MDBC490060,N,Y,39.3445993,-76.5178192
PAST SALE,,Townhouse,1303 S Potomac St,Baltimore,MD,21224,395000,,3.5,,1626,1110,1987,,243,,,,,https://www.redfin.com/MD/Baltimore/1303-S-Potomac-St-21224/home/10734116,,,N,Y,39.278265,-76.5736909
PAST SALE,,Condo/Co-op,2362 Nutmeg Ter,Baltimore,MD,21209,153000,,,,1188,,,,129,,,,,https://www.redfin.com/MD/Baltimore/2362-Nutmeg-Ter-21209/home/11212476,,,N,Y,39.3484956,-76.6578444
PAST SALE,March-22-2021,Townhouse,1206 Linden Grn,Baltimore,MD,21217,335000,3,3.5,Ward 11,2394,1599,1986,,140,79,Sold,,,https://www.redfin.com/MD/Baltimore/1206-Linden-Grn-21217/home/10833047,BRIGHT MLS,MDBA527310,N,Y,39.3039697,-76.6247749
PAST SALE,,Condo/Co-op,2901 Boston St #221,Baltimore,MD,21224,412000,,,,1451,,1985,,284,,,,,https://www.redfin.com/MD/Baltimore/2901-Boston-St-21224/unit-221/home/10734249,,,N,Y,39.2778359,-76.5748761
PAST SALE,,Townhouse,1119 Willinger Ct,Baltimore,MD,21202,67500,3,2.5,,1152,1386,1986,,59,,,,,https://www.redfin.com/MD/Baltimore/1119-Willinger-Ct-21202/home/10831576,,,N,Y,39.30351,-76.6029889
PAST SALE,April-20-2022,Townhouse,1210 Whatcoat St,Baltimore,MD,21217,146000,3,2.5,Ward 16,1380,1742,1992,,106,,Sold,,,https://www.redfin.com/MD/Baltimore/1210-Whatcoat-St-21217/home/10925201,BRIGHT MLS,MDBA2034690,N,Y,39.3027443,-76.6412599
PAST SALE,January-14-2022,Condo/Co-op,327 Warren Ave Unit K,Baltimore,MD,21230,899000,3,2.5,Ward 24,2422,,1989,,371,1297,Sold,,,https://www.redfin.com/MD/Baltimore/327-Warren-Ave-21230/unit-K/home/11015087,BRIGHT MLS,MDBA549192,N,Y,39.2787385,-76.6088678
PAST SALE,,Townhouse,2818 Elliott St,Baltimore,MD,21224,350000,,2.0,,1656,960,1987,,211,,,,,https://www.redfin.com/MD/Baltimore/2818-Elliott-St-21224/home/10733078,,,N,Y,39.2795147,-76.575858
PAST SALE,January-25-2021,Townhouse,2915 W North Ave,Baltimore,MD,21216,57000,3,1.0,Ward 15,,1200,1988,,,,Sold,,,https://www.redfin.com/MD/Baltimore/2915-W-North-Ave-21216/home/10886151,BRIGHT MLS,MDBA535640,N,Y,39.3088643,-76.6664819
PAST SALE,December-30-2020,Condo/Co-op,8 Tyler Falls Ct Unit B,Baltimore,MD,21209,220000,3,2.0,FALLS GABLE,1514,,1994,,145,285,Sold,,,https://www.redfin.com/MD/Baltimore/8-Tyler-Falls-Ct-21209/unit-B/home/9552853,BRIGHT MLS,MDBC513648,N,Y,39.3812446,-76.6702153
PAST SALE,,Townhouse,39 Ironwood Cir,Baltimore,MD,21209,258000,,3.5,,1670,2040,1995,,154,,,,,https://www.redfin.com/MD/Baltimore/39-Ironwood-Cir-21209/home/9552246,,,N,Y,39.3801929,-76.6664819
PAST SALE,,Townhouse,4513 Sipple Ave,Baltimore,MD,21206,140000,,1.5,,1603,3492,1984,,87,,,,,https://www.redfin.com/MD/Baltimore/4513-Sipple-Ave-21206/home/11116149,,,N,Y,39.3272721,-76.5522021
PAST SALE,,Townhouse,1814 E Fairmount Ave,Baltimore,MD,21231,275000,,2.5,,1814,1162,1984,,152,,,,,https://www.redfin.com/MD/Baltimore/1814-E-Fairmount-Ave-21231/home/10757294,,,N,Y,39.2929685,-76.5910655
