SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE https://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
PAST SALE,January-22-2021,Townhouse,318 Oldham St,Baltimore,MD,21224,170000,3,2.0,Ward 26,1605,,1915,,106,,Sold,,,https://www.redfin.com/MD/Baltimore/318-Oldham-St-21224/home/11081773,BRIGHT MLS,MDBA534076,N,Y,39.2886623,-76.5561497
PAST SALE,February-3-2021,Townhouse,3406 Mayfield Ave,Baltimore,MD,21213,135000,3,1.5,Ward 26,1425,436,1942,,95,,Sold,,,https://www.redfin.com/MD/Baltimore/3406-Mayfield-Ave-21213/home/11108920,BRIGHT MLS,MDBA526110,N,Y,39.3202592,-76.5695154
PAST SALE,April-28-2022,Townhouse,305 S East Ave,Baltimore,MD,21224,274900,3,2.0,Ward 26,1224,,1920,,225,,Sold,,,https://www.redfin.com/MD/Baltimore/305-S-East-Ave-21224/home/11075399,BRIGHT MLS,MDBA2023784,N,Y,39.2882979,-76.5714109
PAST SALE,March-4-2022,Single Family Residential,1218 Limit Ave,Idlewylde,MD,21239,414000,3,3.0,IDLEWYLDE,2030,7504,,,204,,Sold,,,https://www.redfin.com/MD/Baltimore/1218-Limit-Ave-21239/home/9649527,BRIGHT MLS,MDBC2007614,N,Y,39.3721017,-76.5935986
PAST SALE,,Townhouse,424 Federal St,Baltimore,MD,21202,270000,,,,,695,1920,,,,,,,https://www.redfin.com/MD/Baltimore/424-Federal-St-21202/home/10844116,,,N,Y,39.3080771,-76.6099398
PAST SALE,March-10-2022,Townhouse,4144 Doris Ave,Brooklyn,MD,21225,180000,3,2.0,Ward 25,1412,1904,1953,,127,,Sold,,,https://www.redfin.com/MD/Baltimore/4144-Doris-Ave-21225/home/11054335,BRIGHT MLS,MDBA2020598,N,Y,39.2292523,-76.60423
PAST SALE,January-31-2022,Single Family Residential,6210 Pleasant View Ave,Baltimore,MD,21209,335000,3,3.0,PLEASANT VIEW,1660,7500,1957,,202,,Sold,,,https://www.redfin.com/MD/Baltimore/6210-Pleasant-View-Ave-21209/home/9536489,BRIGHT MLS,MDBC2011012,N,Y,39.3805786,-76.6539731
PAST SALE,November-22-2021,Townhouse,1531 Ralworth,Baltimore,MD,21218,230000,3,1.5,Ward 9,1728,,1939,,133,,Sold,,,https://www.redfin.com/MD/Baltimore/1531-Ralworth-Rd-21218/home/10826943,BRIGHT MLS,MDBA2000789,N,Y,39.3391276,-76.5919751
PAST SALE,February-25-2022,Townhouse,1545 Sherwood Ave,Baltimore,MD,21239,175000,3,1.5,Ward 27,1567,2178,1948,,112,,Sold,,,https://www.redfin.com/MD/Baltimore/1545-Sherwood-Ave-21239/home/11207176,BRIGHT MLS,MDBA2026800,N,Y,39.3621152,-76.5848035
PAST SALE,May-2-2022,Townhouse,2205 Eutaw Pl,Baltimore,MD,21217,351000,3,4.5,Ward 13,4000,3160,1900,,88,,Sold,,,https://www.redfin.com/MD/Baltimore/2205-Eutaw-Pl-21217/home/10866874,BRIGHT MLS,MDBA2035852,N,Y,39.3109092,-76.6340624
PAST SALE,,Townhouse,1439 Reynolds St,Baltimore,MD,21230,458000,,3.0,,1712,1045,1919,,268,,,,,https://www.redfin.com/MD/Baltimore/1439-Reynolds-St-21230/home/11023979,,,N,Y,39.2684636,-76.5898981
PAST SALE,,Single Family Residential,2410 Lake Ave,Baltimore,MD,21213,318000,,2.5,,1593,7192,1928,,200,,,,,https://www.redfin.com/MD/Baltimore/2410-Lake-Ave-21213/home/10777268,,,N,Y,39.3270955,-76.5773622
PAST SALE,June-22-2021,Townhouse,329 S Bouldin St,Baltimore,MD,21224,299999,3,3.0,Ward 26,1552,,1920,,193,,Sold,,,https://www.redfin.com/MD/Baltimore/329-S-Bouldin-St-21224/home/11075575,BRIGHT MLS,MDBA546978,N,Y,39.2879292,-76.5706434
PAST SALE,May-12-2021,Townhouse,906 Mckewin Ave,Baltimore,MD,21218,225000,3,1.5,Ward 9,1220,,1931,,184,,Sold,,,https://www.redfin.com/MD/Baltimore/906-McKewin-Ave-21218/home/10824139,BRIGHT MLS,MDBA545180,N,Y,39.3328389,-76.603553
PAST SALE,July-31-2020,Single Family Residential,614 Warwick Rd,Baltimore,MD,21229,318288,3,2.0,Baltimore,1609,6000,1940,,198,,Sold,,,https://www.redfin.com/MD/BALTIMORE/614-WARWICK-RD-21229/home/9095133,BRIGHT MLS,MDBC498232,N,Y,39.270822,-76.695828
PAST SALE,May-3-2022,Townhouse,328 Whitridge Ave,Baltimore,MD,21218,235000,3,2.5,Ward 12,1232,1044,1915,,191,,Sold,,,https://www.redfin.com/MD/Baltimore/328-Whitridge-Ave-21218/home/10849224,BRIGHT MLS,MDBA2039740,N,Y,39.3216779,-76.6118129
PAST SALE,,Single Family Residential,3212 Woodhome Ave,Baltimore,MD,21234,185000,,1.5,,1515,7497,1940,,122,,,,,https://www.redfin.com/MD/Baltimore/3212-Woodhome-Ave-21234/home/11137372,,,N,Y,39.3645405,-76.54293
PAST SALE,,Townhouse,5847 Arizona Ave,Baltimore,MD,21206,155000,,1.5,,1644,4067,1960,,94,,,,,https://www.redfin.com/MD/Baltimore/5847-Arizona-Ave-21206/home/11118017,,,N,Y,39.3356861,-76.535377
