SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE https://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
PAST SALE,January-29-2021,Townhouse,623 Grundy St,Baltimore,MD,21224,287000,2,2.5,Ward 26,1322,1306,1920,,217,,Sold,,,https://www.redfin.com/MD/Baltimore/623-Grundy-St-21224/home/11073859,BRIGHT MLS,MDBA531268,N,Y,39.2852232,-76.5630129
PAST SALE,January-4-2021,Townhouse,210 N Chester St,Baltimore,MD,21231,268000,2,2.5,Ward 6,2344,,1900,,114,,Sold,,,https://www.redfin.com/MD/Baltimore/210-N-Chester-St-21231/home/10757128,BRIGHT MLS,MDBA523234,N,Y,39.2947188,-76.5878215
PAST SALE,March-29-2022,Townhouse,1731 William St,Baltimore,MD,21230,260000,2,1.0,Ward 24,936,,1900,,278,,Sold,,,https://www.redfin.com/MD/Baltimore/1731-William-St-21230/home/11018787,BRIGHT MLS,MDBA2034772,N,Y,39.2700182,-76.6098721
PAST SALE,,Townhouse,1134 Washington Blvd,Baltimore,MD,21230,149000,,1.0,,960,840,1900,,155,,,,,https://www.redfin.com/MD/Baltimore/1134-Washington-Blvd-21230/home/10997338,,,N,Y,39.2825495,-76.6332727
PAST SALE,,Townhouse,635 Wyeth St,Baltimore,MD,21230,219000,,3.5,,1188,840,1900,,184,,,,,https://www.redfin.com/MD/Baltimore/635-Wyeth-St-21230/home/11001994,,,N,Y,39.2814347,-76.6293466
PAST SALE,March-24-2022,Townhouse,1418 Patapsco St,Baltimore,MD,21230,249500,2,1.0,Ward 23,1176,,1900,,212,,Sold,,,https://www.redfin.com/MD/Baltimore/1418-Patapsco-St-21230/home/11013914,BRIGHT MLS,MDBA2028250,N,Y,39.2737672,-76.6134829
PAST SALE,,Single Family Residential,1018 Parksley Ave,Baltimore,MD,21223,205000,,2.5,,1290,7497,1923,,159,,,,,https://www.redfin.com/MD/Baltimore/1018-Parksley-Ave-21223/home/11035210,,,N,Y,39.2735046,-76.6635996
PAST SALE,,Townhouse,3400 Mt Pleasant Ave,Baltimore,MD,21224,190000,,1.5,,1384,848,1920,,137,,,,,https://www.redfin.com/MD/Baltimore/3400-Mt-Pleasant-Ave-21224/home/11078713,,,N,Y,39.2909732,-76.5691647
PAST SALE,September-11-2020,Townhouse,622 Archer St,Baltimore,MD,21230,162000,2,1.0,Ward 21,980,,1900,,165,,Sold,,,https://www.redfin.com/MD/Baltimore/622-Archer-St-21230/home/11001795,BRIGHT MLS,MDBA514492,N,Y,39.281609,-76.6301589
PAST SALE,April-30-2021,Townhouse,2845 Miles Ave,Baltimore,MD,21211,190000,2,1.0,Ward 12,812,649,1920,,234,,Sold,,,https://www.redfin.com/MD/Baltimore/2845-Miles-Ave-21211/home/10839794,BRIGHT MLS,MDBA543994,N,Y,39.321169,-76.6238408
PAST SALE,,Single Family Residential,1302 Asbury Rd,Baltimore,MD,21209,292000,,2.0,,1399,5845,1927,,209,,,,,https://www.redfin.com/MD/Baltimore/1302-Asbury-Rd-21209/home/11159210,,,N,Y,39.3708471,-76.6499729
PAST SALE,March-30-2022,Townhouse,803 Mangold St,Baltimore,MD,21230,185000,2,1.5,Ward 21,832,600,1900,,222,,Sold,,,https://www.redfin.com/MD/Baltimore/803-Mangold-St-21230/home/11003277,BRIGHT MLS,MDBA2033868,N,Y,39.2811088,-76.6272763
PAST SALE,May-11-2022,Townhouse,139 N Decker Ave,Baltimore,MD,21224,295000,2,3.0,Ward 6,1776,,1920,,166,,Sold,,,https://www.redfin.com/MD/Baltimore/139-N-Decker-Ave-21224/home/10763296,BRIGHT MLS,MDBA2035436,N,Y,39.294179,-76.574007
PAST SALE,,Townhouse,822 S Port St,Baltimore,MD,21224,305000,,1.0,,1146,720,1915,,266,,,,,https://www.redfin.com/MD/Baltimore/822-S-Port-St-21224/home/10729952,,,N,Y,39.2823551,-76.5820882
PAST SALE,,Townhouse,30 S Durham St,Baltimore,MD,21231,220000,,1.0,,1200,870,1900,,183,,,,,https://www.redfin.com/MD/Baltimore/30-S-Durham-St-21231/home/10743958,,,N,Y,39.2908464,-76.5911621
PAST SALE,,Single Family Residential,618 S Port St,Baltimore,MD,21224,180000,2,1.0,,750,495,1915,,240,,,,,https://www.redfin.com/MD/Baltimore/618-S-Port-St-21224/home/10729429,,,N,Y,39.2844137,-76.5822133
PAST SALE,February-22-2022,Townhouse,25 Ann St,Baltimore,MD,21231,339900,2,2.5,Ward 2,1560,1230,1900,,218,,Sold,,,https://www.redfin.com/MD/Baltimore/25-S-Ann-St-21231/home/10743843,BRIGHT MLS,MDBA2025126,N,Y,39.2908236,-76.5914781
PAST SALE,,Townhouse,656 Melvin Dr,Baltimore,MD,21230,209900,,2.0,,849,550,1900,,247,,,,,https://www.redfin.com/MD/Baltimore/656-Melvin-Dr-21230/home/11005746,,,N,Y,39.2848156,-76.6252736
PAST SALE,March-17-2022,Townhouse,33 Birckhead St,Baltimore,MD,21230,233000,2,1.0,Ward 23,1209,551,1900,,193,,Sold,,,https://www.redfin.com/MD/Baltimore/33-Birckhead-St-21230/home/11014422,BRIGHT MLS,MDBA2026296,N,Y,39.2730493,-76.6126252
PAST SALE,,Townhouse,16 N Glover St,Baltimore,MD,21224,239990,,1.5,,1716,780,1900,,140,,,,,https://www.redfin.com/MD/Baltimore/16-N-Glover-St-21224/home/10760896,,,N,Y,39.2926957,-76.5798529
PAST SALE,,Townhouse,626 S Bradford St,Baltimore,MD,21224,240000,,2.0,,1216,615,1920,,197,,,,,https://www.redfin.com/MD/Baltimore/626-S-Bradford-St-21224/home/10728810,,,N,Y,39.2842252,-76.5835385
PAST SALE,May-24-2021,Townhouse,1639 Belt St,Baltimore,MD,21230,295000,2,1.0,Ward 24,1064,960,1900,,277,,Sold,,,https://www.redfin.com/MD/Baltimore/1639-Belt-St-21230/home/11020221,BRIGHT MLS,MDBA546918,N,Y,39.2711121,-76.6055842
PAST SALE,March-15-2021,Townhouse,807 S Luzerne Ave,Baltimore,MD,21224,275000,2,2.0,Ward 1,1392,,1920,,198,,Sold,,,https://www.redfin.com/MD/Baltimore/807-S-Luzerne-Ave-21224/home/10732182,BRIGHT MLS,MDBA535302,N,Y,39.2826425,-76.5796052
