SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE https://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
PAST SALE,October-15-2021,Condo/Co-op,6832 Hayley Ridge Way Unit B,Baltimore,MD,21209,220000,2,2.0,FALLS GABLE,1366,,1992,,161,295,Sold,,,https://www.redfin.com/MD/Baltimore/6832-Hayley-Ridge-Way-21209/unit-B/home/9551916,BRIGHT MLS,MDBC2006530,N,Y,39.3809648,-76.6726964
PAST SALE,December-22-2020,Condo/Co-op,2322 Falls Gable Ln Unit N,Baltimore,MD,21209,170000,2,2.0,FALLS GABLE,1053,,1993,,161,295,Sold,,,https://www.redfin.com/MD/Baltimore/2322-Falls-Gable-Ln-21209/unit-N/home/9552358,BRIGHT MLS,MDBC513630,N,Y,39.3806233,-76.6721551
PAST SALE,April-26-2022,Condo/Co-op,3011 Fallstaff Rd Unit 504A,Baltimore,MD,21209,170000,2,2.0,Ward 27,1669,,1988,,102,686,Sold,,,https://www.redfin.com/MD/Baltimore/3011-Fallstaff-Rd-21209/unit-504A/home/11176188,BRIGHT MLS,MDBA2037182,N,Y,39.3691773,-76.6905144
PAST SALE,,Condo/Co-op,10 Fourwood Ct Unit 10B,Baltimore,MD,21209,192000,,,,1449,,,,133,,,,,https://www.redfin.com/MD/Baltimore/10-Fourwood-Ct-21209/unit-10B/home/9548062,,,N,Y,39.3820523,-76.6666499
PAST SALE,June-30-2020,Condo/Co-op,8 Tyler Falls Ct Unit C,Baltimore,MD,21209,211500,2,2.0,FALLS GABLE,1442,,1994,,147,295,Sold,,,https://www.redfin.com/MD/Baltimore/8-Tyler-Falls-Ct-21209/unit-C/home/9552856,BRIGHT MLS,MDBC491160,N,Y,39.3812446,-76.6702153
PAST SALE,October-2-2020,Townhouse,910 Ryan St,Baltimore,MD,21223,128000,2,1.5,Ward 21,888,871,1995,,144,,Sold,,,https://www.redfin.com/MD/Baltimore/910-Ryan-St-21223/home/10996614,BRIGHT MLS,MDBA508692,N,Y,39.2842861,-76.6323588
PAST SALE,September-18-2020,Condo/Co-op,3801 Canterbury Rd #705,Baltimore,MD,21218,200000,2,2.0,Ward 12,1507,,1990,,133,797,Sold,,,https://www.redfin.com/MD/Baltimore/3801-Canterbury-Rd-21218/unit-705/home/10850568,BRIGHT MLS,MDBA497582,N,Y,39.3348366,-76.6202832
PAST SALE,April-29-2022,Condo/Co-op,960 Fell St #203,Baltimore,MD,21231,400000,2,2.5,Ward 2,1716,,1992,,233,721,Sold,,,https://www.redfin.com/MD/Baltimore/960-Fell-St-21231/unit-203/home/10745848,BRIGHT MLS,MDBA2003866,N,Y,39.2805655,-76.5900448
PAST SALE,,Condo/Co-op,100 Harborview Dr #1213,Baltimore,MD,21230,200000,,,,1355,,1992,,148,,,,,https://www.redfin.com/MD/Baltimore/100-Harborview-Dr-21230/unit-1213/home/11222452,,,N,Y,39.279369,-76.6043825
PAST SALE,April-22-2022,Condo/Co-op,2921 Katewood Ct #5,Baltimore,MD,21209,176900,2,2.0,GREENSPRING EAST,978,,1994,,181,540,Sold,,,https://www.redfin.com/MD/Baltimore/2921-Katewood-Ct-21209/unit-5/home/169754599,BRIGHT MLS,MDBC2028472,N,Y,39.3882649,-76.683942
