SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE https://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
PAST SALE,September-23-2021,Single Family Residential,3 Bargate Ct,Baltimore,MD,21212,1052000,5,4.0,CHARLESBROOKE AT PINEHU,3782,23296,1975,,278,206,Sold,,,https://www.redfin.com/MD/Baltimore/3-Bargate-Ct-21212/home/9674249,BRIGHT MLS,MDBC2008932,N,Y,39.374882,-76.6235136
PAST SALE,August-20-2021,Single Family Residential,3333 Rosalie Ave,Baltimore,MD,21234,335000,5,3.5,Ward 27,2822,11247,1968,,119,,Sold,,,https://www.redfin.com/MD/Baltimore/3333-Rosalie-Ave-21234/home/11139488,BRIGHT MLS,MDBA2001440,N,Y,39.3644455,-76.5394076
PAST SALE,June-1-2021,Single Family Residential,7305 Brightside Rd,Baltimore,MD,21212,2400000,5,5.0,RUXTON/WOODBROOK,7506,68389,,,320,,Sold,,,https://www.redfin.com/MD/Baltimore/7305-Brightside-Rd-21212/home/9678373,BRIGHT MLS,MDBC522838,N,Y,39.3841993,-76.6367136
PAST SALE,August-2-2021,Single Family Residential,2707 Copperfield Ct,Baltimore,MD,21209,607500,5,3.0,PICKWICK,3060,12882,1964,,199,,Sold,,,https://www.redfin.com/MD/Baltimore/2707-Copperfield-Ct-21209/home/9533350,BRIGHT MLS,MDBC2021032,N,Y,39.3743523,-76.6882369
PAST SALE,,Single Family Residential,5922 Benton Heights Ave,Baltimore,MD,21206,177000,,2.5,,2016,12110,1973,,88,,,,,https://www.redfin.com/MD/Baltimore/5922-Benton-Heights-Ave-21206/home/11134140,,,N,Y,39.3479011,-76.5429623
PAST SALE,,Single Family Residential,4313 Rugby Rd,Baltimore,MD,21210,790000,,3.5,,3929,11512,1960,,201,,,,,https://www.redfin.com/MD/Baltimore/4313-Rugby-Rd-21210/home/11157507,,,N,Y,39.3427313,-76.6225658
PAST SALE,April-19-2021,Single Family Residential,7122 Pheasant Cross Dr,Baltimore,MD,21209,560000,5,3.0,GREEN GATE,3238,12870,1977,,173,,Sold,,,https://www.redfin.com/MD/Baltimore/7122-Pheasant-Cross-Dr-21209/home/9541417,BRIGHT MLS,MDBC527692,N,Y,39.3869939,-76.6711626
PAST SALE,May-18-2020,Single Family Residential,6607 Marne Ave,Baltimore,MD,21224,93000,5,1.5,Ward 26,1252,6000,1964,,74,,Sold,,,https://www.redfin.com/MD/Baltimore/6607-Marne-Ave-21224/home/11064687,BRIGHT MLS,MDBA496636,N,Y,39.275885,-76.5344173
PAST SALE,March-18-2022,Single Family Residential,5716 Charlestowne Dr,Baltimore,MD,21212,538000,5,3.0,Ward 27,3712,16552,1965,,145,,Sold,,,https://www.redfin.com/MD/Baltimore/5716-Charlestowne-Dr-21212/home/11212044,BRIGHT MLS,MDBA2015072,N,Y,39.3681983,-76.6245516
PAST SALE,,Single Family Residential,6301 Mossway,Baltimore,MD,21212,650000,,2.5,,2748,12763,1962,,237,,,,,https://www.redfin.com/MD/Baltimore/6301-Mossway-21212/home/11211903,,,N,Y,39.371467,-76.6215278
PAST SALE,December-30-2021,Single Family Residential,5114 Mcfaul Rd,Baltimore,MD,21206,315000,5,2.0,BLACKTHORN,2144,7150,1963,,147,,Sold,,,https://www.redfin.com/MD/Baltimore/5114-McFaul-Rd-21206/home/9405036,BRIGHT MLS,MDBC2010510,N,Y,39.3371689,-76.5203125
PAST SALE,August-12-2021,Single Family Residential,7013 Pheasant Cross Dr,Baltimore,MD,21209,520000,5,2.5,GREEN GATE,2670,15136,1971,,195,,Sold,,,https://www.redfin.com/MD/Baltimore/7013-Pheasant-Cross-Dr-21209/home/9527424,BRIGHT MLS,MDBC2002840,N,Y,39.3842735,-76.6749746
PAST SALE,December-1-2020,Single Family Residential,6031 Hollins Ave,Baltimore,MD,21210,930000,5,3.5,GAY PROPERTY,3702,44431,1966,,251,,Sold,,,https://www.redfin.com/MD/Baltimore/6031-Hollins-Ave-21210/home/9644407,BRIGHT MLS,MDBC487546,N,Y,39.377942,-76.6426024
PAST SALE,December-3-2020,Single Family Residential,5214 Mcfaul Rd,Baltimore,MD,21206,270000,5,2.5,BLACKTHORN,1772,11726,1963,,152,,Sold,,,https://www.redfin.com/MD/Baltimore/5214-McFaul-Rd-21206/home/9402780,BRIGHT MLS,MDBC508246,N,Y,39.3393164,-76.517232
PAST SALE,May-15-2020,Single Family Residential,6813 Everall Ave,Baltimore,MD,21206,257000,5,2.5,OVERLEA,2567,72745,1963,,100,,Sold,,,https://www.redfin.com/MD/Baltimore/6813-Everall-Ave-21206/home/11139815,BRIGHT MLS,MDBA487720,N,Y,39.3602088,-76.5361512
PAST SALE,,Single Family Residential,7202 Verbena Rd,Baltimore,MD,21209,535000,,3.0,,3224,17444,1975,,166,,,,,https://www.redfin.com/MD/Baltimore/7202-Verbena-Rd-21209/home/9540956,,,N,Y,39.387302,-76.6727866
PAST SALE,December-30-2020,Single Family Residential,6035 Hollins Ave,Baltimore,MD,21210,875000,5,4.5,GAY PROPERTY,7198,60000,1974,,122,,Sold,,,https://www.redfin.com/MD/Baltimore/6035-Hollins-Ave-21210/home/9659630,BRIGHT MLS,MDBC489632,N,Y,39.3776138,-76.6427792
PAST SALE,August-21-2020,Townhouse,5626 Arnhem Rd,Baltimore,MD,21206,176000,5,2.5,CEDONIA,1584,4250,1964,,111,,Sold,,,https://www.redfin.com/MD/Baltimore/5626-Arnhem-Rd-21206/home/9392623,BRIGHT MLS,MDBC493978,N,Y,39.3338391,-76.5272465
PAST SALE,,Single Family Residential,5816 Gist Ave,Baltimore,MD,21215,216500,,2.0,,1834,6199,1960,,118,,,,,https://www.redfin.com/MD/Baltimore/5816-Gist-Ave-21215/home/11182904,,,N,Y,39.3533457,-76.6915264
