SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE https://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
PAST SALE,January-19-2021,Townhouse,106 Windblown Ct,Baltimore,MD,21209,321000,4,3.5,TWIN RIDGE APARTMENTS,2200,1936,1980,,146,105,Sold,,,https://www.redfin.com/MD/Baltimore/106-Windblown-Ct-21209/home/9542007,BRIGHT MLS,MDBC512510,N,Y,39.3892729,-76.6659518
PAST SALE,August-14-2020,Single Family Residential,6111 Fairdel Ave,Baltimore,MD,21206,252000,4,2.0,Ward 27,2553,8100,1960,,99,,Sold,,,https://www.redfin.com/MD/Baltimore/6111-Fairdel-Ave-21206/home/11135096,BRIGHT MLS,MDBA512682,N,Y,39.3493137,-76.540593
PAST SALE,October-29-2020,Townhouse,1372 Limit Ave,Baltimore,MD,21239,200000,4,2.5,Ward 27,1908,5227,1963,,105,,Sold,,,https://www.redfin.com/MD/Baltimore/1372-Limit-Ave-21239/home/11205771,BRIGHT MLS,MDBA522936,N,Y,39.3717181,-76.5866252
PAST SALE,July-29-2020,Single Family Residential,3522 W Caton Ave,Baltimore,MD,21229,95000,4,2.5,Ward 20,3561,5301,1966,,27,,Sold,,,https://www.redfin.com/MD/Baltimore/3522-W-Caton-Ave-21229/home/10991291,BRIGHT MLS,MDBA504230,N,Y,39.2877713,-76.6753581
PAST SALE,August-31-2020,Single Family Residential,7520 Carson Ave,Baltimore,MD,21224,285000,4,2.0,DUNDALK,1402,20908,1962,,203,,Sold,,,https://www.redfin.com/MD/Baltimore/7520-Carson-Ave-21224/home/9304396,BRIGHT MLS,MDBC494524,N,Y,39.2883595,-76.5152898
PAST SALE,,Single Family Residential,2815 Mohawk Ave,Baltimore,MD,21207,335000,,2.0,,2153,6000,1965,,156,,,,,https://www.redfin.com/MD/Baltimore/2815-Mohawk-Ave-21207/home/11217301,,,N,Y,39.3196909,-76.6984374
PAST SALE,November-3-2021,Single Family Residential,2019 Jolly Rd,Baltimore,MD,21209,560000,4,2.5,GREEN GATE,2730,14620,1976,,205,,Sold,,,https://www.redfin.com/MD/Baltimore/2019-Jolly-Rd-21209/home/9541593,BRIGHT MLS,MDBC2009372,N,Y,39.3854295,-76.6707114
PAST SALE,April-19-2021,Townhouse,6232 Radecke Ave,Baltimore,MD,21206,175000,4,1.0,HOLLAND HILL,1184,2180,1965,,148,,Sold,,,https://www.redfin.com/MD/Baltimore/6232-Radecke-Ave-21206/home/9395339,BRIGHT MLS,MDBC521234,N,Y,39.338541,-76.5242667
PAST SALE,July-31-2020,Townhouse,6838 Queens Ferry Rd,Baltimore,MD,21239,227200,4,2.0,GLENMONT,1536,6160,1960,,148,,Sold,,,https://www.redfin.com/MD/Baltimore/6838-Queens-Ferry-Rd-21239/home/9653754,BRIGHT MLS,MDBC489872,N,Y,39.3822884,-76.5820115
PAST SALE,February-2-2022,Single Family Residential,4811 Mannasota Ave,Baltimore,MD,21206,233000,4,2.0,Ward 26,1485,7518,1960,,157,,Sold,,,https://www.redfin.com/MD/Baltimore/4811-Mannasota-Ave-21206/home/11116632,BRIGHT MLS,MDBA2011800,N,Y,39.3323601,-76.5559803
