SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE https://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
PAST SALE,,Single Family Residential,7415 Beech Ave,Baltimore,MD,21206,363900,,3.5,,2922,7280,2020,,125,,,,,https://www.redfin.com/MD/Baltimore/7415-Beech-Ave-21206/home/9406569,,,N,Y,39.359094,-76.519878
PAST SALE,October-15-2020,Single Family Residential,6725 Evanston Rd,Baltimore,MD,21209,755000,5,4.5,THE PARKE AT MOUNT WASHINGTON,5130,18513,2013,,147,67,Sold,,,https://www.redfin.com/MD/Baltimore/6725-Evanston-Rd-21209/home/40029012,BRIGHT MLS,MDBC495136,N,Y,39.3807682,-76.6672376
PAST SALE,April-2-2021,Townhouse,3508 Fleet St,Baltimore,MD,21224,710000,5,4.5,Ward 26,3450,2396,2020,,206,,Sold,,,https://www.redfin.com/MD/Baltimore/3508-Fleet-St-21224/home/172509237,BRIGHT MLS,MDBA528200,N,Y,39.285857,-76.567739
PAST SALE,March-7-2022,Townhouse,3749 Fords Ln,Baltimore,MD,21215,387000,5,3.5,Ward 27,2100,2265,2021,,184,75,Sold,,,https://www.redfin.com/MD/Baltimore/3749-Fords-Ln-21215/home/64338133,BRIGHT MLS,MDBA2017078,N,Y,39.3582131,-76.6981957
PAST SALE,August-3-2020,Single Family Residential,2308 Winterwood Rd,Baltimore,MD,21209,750000,5,4.5,BONNIE VIEW ESTATES,5426,10454,2010,,138,268,Sold,,,https://www.redfin.com/MD/Baltimore/2308-Winterwood-Rd-21209/home/40029187,BRIGHT MLS,MDBC496324,N,Y,39.3771228,-76.6702828
PAST SALE,,Townhouse,3701 Fords Ln,Baltimore,MD,21215,300000,5,3.5,,2400,6534,2018,,125,,,,,https://www.redfin.com/MD/Baltimore/3701-Fords-Ln-21215/home/11182151,,,N,Y,39.357716,-76.698109
PAST SALE,,Single Family Residential,616 Windwood Rd,Baltimore,MD,21212,605000,,3.0,,2411,21875,1953,,251,,,,,https://www.redfin.com/MD/Baltimore/616-Windwood-Rd-21212/home/9655137,,,N,Y,39.3738232,-76.6055841
PAST SALE,February-24-2022,Single Family Residential,106 Woodbrook Ln,Baltimore,MD,21212,3250000,5,6.5,SPOTSWOOD,8391,34483,2013,,387,,Sold,,,https://www.redfin.com/MD/Baltimore/106-Woodbrook-Ln-21212/home/9705205,BRIGHT MLS,MDBC2022470,N,Y,39.3796842,-76.6321106
PAST SALE,January-25-2022,Townhouse,3751 Fords Ln,Baltimore,MD,21215,360000,5,3.5,BALTIMORE,2100,2134,2021,,171,75,Sold,,,https://www.redfin.com/MD/Baltimore/3751-Fords-Ln-21215/home/64338134,BRIGHT MLS,MDBA2017080,N,Y,39.3581881,-76.6982182
PAST SALE,May-4-2021,Townhouse,3506 Fleet St,Baltimore,MD,21224,725000,5,4.5,Ward 26,3450,2396,2020,,210,,Sold,,,https://www.redfin.com/MD/Baltimore/3506-Fleet-St-21224/home/172107142,BRIGHT MLS,MDBA540594,N,Y,39.285856,-76.5677709
