SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE https://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
PAST SALE,May-4-2022,Townhouse,20 E Fort Ave,Baltimore,MD,21230,449900,3,3.5,Ward 23,1692,1045,2014,,266,25,Sold,,,https://www.redfin.com/MD/Baltimore/20-E-Fort-Ave-21230/home/9890719,BRIGHT MLS,MDBA2031360,N,Y,39.2727637,-76.6130618
PAST SALE,May-12-2021,Townhouse,3444 Woodberry Ave,Baltimore,MD,21211,750000,3,3.5,Ward 13,2776,3703,2011,,270,225,Sold,,,https://www.redfin.com/MD/Baltimore/3444-Woodberry-Ave-21211/home/12322550,BRIGHT MLS,MDBA544666,N,Y,39.330664,-76.6478366
PAST SALE,April-15-2022,Single Family Residential,3938 Lowndes Ave,Baltimore,MD,21218,323000,3,2.5,Ward 9,1600,5400,2016,,202,,Sold,,,https://www.redfin.com/MD/Baltimore/3938-Lowndes-Ave-21218/home/10804564,BRIGHT MLS,MDBA2035156,N,Y,39.3371975,-76.6055052
PAST SALE,September-17-2020,Townhouse,428 E Oliver St,Baltimore,MD,21202,264900,3,2.5,Ward 12,1816,,2012,,146,,Sold,,,https://www.redfin.com/MD/Baltimore/428-E-Oliver-St-21202/home/40630204,BRIGHT MLS,MDBA510774,N,Y,39.3070107,-76.6097377
PAST SALE,,Condo/Co-op,5189 Wyndholme Cir,Baltimore,MD,21229,250000,,,,,,2013,,,,,,,https://www.redfin.com/MD/Baltimore/5189-Wyndholme-Cir-21229/home/64338105,,,N,Y,39.2789298,-76.7034547
PAST SALE,,Townhouse,1713 Mt Pleasant Ave,Baltimore,MD,21231,338000,,2.5,,2524,740,2011,,134,,,,,https://www.redfin.com/MD/Baltimore/1713-Mt-Pleasant-Ave-21231/home/11892313,,,N,Y,39.2897114,-76.5928949
PAST SALE,,Single Family Residential,5001 Ashman's Hope,Baltimore,MD,21207,380000,,2.5,,2016,5009,2016,,188,,,,,https://www.redfin.com/MD/Baltimore/5001-Ashman-s-Hope-21207/home/17036383,,,N,Y,39.3041881,-76.7059404
PAST SALE,September-12-2020,Townhouse,204 Newkirk St,Baltimore,MD,21224,364200,3,4.0,Ward 26,2075,1088,2020,,176,44,Sold,,,https://www.redfin.com/MD/Baltimore/204-S-Newkirk-St-21224/home/147011251,BRIGHT MLS,MDBA506668,N,Y,39.2899784,-76.5569837
PAST SALE,,Townhouse,510 S Chapel St,Baltimore,MD,21231,462000,,3.5,,2480,1260,2011,,186,,,,,https://www.redfin.com/MD/Baltimore/510-S-Chapel-St-21231/home/12261710,,,N,Y,39.285295,-76.5895144
PAST SALE,,Townhouse,1500 S Charles St,Baltimore,MD,21230,480000,,3.0,,2044,6020,2015,,235,,,,,https://www.redfin.com/MD/Baltimore/1500-S-Charles-St-21230/home/39538278,,,N,Y,39.2724013,-76.6143291
PAST SALE,December-14-2020,Townhouse,218 S Newkirk St,Baltimore,MD,21224,374915,3,4.0,Ward 26,2075,1088,2020,,181,44,Sold,,,https://www.redfin.com/MD/Baltimore/218-S-Newkirk-St-21224/home/147011244,BRIGHT MLS,MDBA511348,N,Y,39.2896678,-76.5569637
PAST SALE,June-26-2020,Townhouse,305 E Lanvale St,Baltimore,MD,21202,431775,3,2.5,Ward 12,2273,1120,,,190,,Sold,,,https://www.redfin.com/MD/Baltimore/305-E-Lanvale-St-21202/home/171943347,BRIGHT MLS,MDBA511504,N,Y,39.308723,-76.611675
PAST SALE,December-18-2020,Townhouse,525 Canton Ct,Baltimore,MD,21224,480000,3,3.5,Ward 26,2406,1786,2018,,200,,Sold,,,https://www.redfin.com/MD/Baltimore/525-Canton-Ct-21224/home/11892614,BRIGHT MLS,MDBA530280,N,Y,39.2860003,-76.5680828
PAST SALE,July-8-2020,Townhouse,4314 La Plata Ave,Baltimore,MD,21211,355000,3,2.5,Baltimore,1962,1500,2019,,181,60,Sold,,,https://www.redfin.com/MD/Baltimore/4314-La-Plata-Ave-21211/home/169881504,BRIGHT MLS,MDBA492152,N,Y,39.339511,-76.645618
PAST SALE,April-29-2022,Townhouse,1314 Jackson St,Baltimore,MD,21230,750000,3,4.0,Ward 24,2434,1300,2017,,308,210,Sold,,,https://www.redfin.com/MD/Baltimore/1314-Jackson-St-21230/home/11892444,BRIGHT MLS,MDBA2036852,N,Y,39.2750983,-76.6056036
PAST SALE,August-14-2020,Single Family Residential,307 E Lanvale St,Baltimore,MD,21202,469900,3,2.5,Ward 12,2273,1120,2020,,207,,Sold,,,https://www.redfin.com/MD/Baltimore/307-E-Lanvale-St-21202/home/171499453,BRIGHT MLS,MDBA508828,N,Y,39.308725,-76.611626
PAST SALE,September-30-2020,Townhouse,1020 N Durham St,Baltimore,MD,21205,394995,3,3.5,Baltimore,2244,1120,2020,,176,50,Sold,,,https://www.redfin.com/MD/Baltimore/1020-N-Durham-St-21205/home/169880891,BRIGHT MLS,MDBA515748,N,Y,39.3023046,-76.591977
PAST SALE,October-9-2020,Townhouse,1803 E Chase St,Baltimore,MD,21205,394990,3,3.5,Baltimore,2229,1120,2020,,177,50,Sold,,,https://www.redfin.com/MD/Baltimore/1803-E-Chase-St-21213/home/169881299,BRIGHT MLS,MDBA510216,N,Y,39.3031906,-76.5923501
PAST SALE,July-17-2020,Townhouse,1801 E Chase St,Baltimore,MD,21205,431000,3,3.5,Baltimore,2247,1120,2020,,192,50,Sold,,,https://www.redfin.com/MD/Baltimore/1801-E-Chase-St-21213/home/170556855,BRIGHT MLS,MDBA502488,N,Y,39.303144,-76.592301
PAST SALE,May-11-2020,Townhouse,241 S Macon St,Baltimore,MD,21224,280000,3,3.5,OLDHAM CROSSING,1600,1088,2020,,175,44,Sold,,,https://www.redfin.com/MD/Baltimore/241-S-Macon-St-21224/home/147010881,BRIGHT MLS,MDBA497616,N,Y,39.2891568,-76.5572162
PAST SALE,,Townhouse,1739 Aliceanna St,Baltimore,MD,21231,775000,,3.5,,3099,1220,2011,,250,,,,,https://www.redfin.com/MD/Baltimore/1739-Aliceanna-St-21231/home/50276732,,,N,Y,39.2834014,-76.5916831
PAST SALE,,Townhouse,1410 Lowman St,Baltimore,MD,21230,510500,,2.5,,2280,1612,2013,,224,,,,,https://www.redfin.com/MD/Baltimore/1410-Lowman-St-21230/home/11892516,,,N,Y,39.2707649,-76.5952699
PAST SALE,February-7-2022,Single Family Residential,311 Frankle St,Brooklyn,MD,21225,302000,3,2.5,CURTIS HEIGHTS,,1500,2011,,,,Sold,,,https://www.redfin.com/MD/Baltimore/311-Frankle-St-21225/home/11053658,BRIGHT MLS,MDAA2017146,N,Y,39.2322718,-76.6090977
PAST SALE,,Townhouse,1021 McDonogh St,Baltimore,MD,21205,355000,3,3.5,,2026,1394,2016,,175,,,,,https://www.redfin.com/MD/Baltimore/1021-McDonogh-St-21205/home/10768696,,,N,Y,39.3028589,-76.593341
PAST SALE,April-29-2022,Townhouse,1730 E Eager St,Baltimore,MD,21205,357500,3,3.5,Ward 7,2026,1000,2017,,176,50,Sold,,,https://www.redfin.com/MD/Baltimore/1730-E-Eager-St-21205/home/10768671,BRIGHT MLS,MDBA2037144,N,Y,39.3020409,-76.5927246
PAST SALE,,Townhouse,4611 Foster Ave,Baltimore,MD,21224,366000,,2.5,,1696,1089,2013,,216,,,,,https://www.redfin.com/MD/Baltimore/4611-Foster-Ave-21224/home/50276719,,,N,Y,39.2848325,-76.5566808
PAST SALE,January-26-2022,Townhouse,4008 Harmony Ct,Baltimore,MD,21224,561975,3,3.5,Ward 26,,1002,2021,,,150,Sold,,,https://www.redfin.com/MD/Baltimore/4008-Harmony-Ct-21224/home/171245440,BRIGHT MLS,MDBA542878,N,Y,39.282314,-76.562371
PAST SALE,March-25-2022,Townhouse,580 Baker St,Baltimore,MD,21217,172500,3,2.5,Ward 14,,708,2012,,,,Sold,,,https://www.redfin.com/MD/Baltimore/580-Baker-St-21217/home/45424955,BRIGHT MLS,MDBA2026404,N,Y,39.3085515,-76.6402552
PAST SALE,September-10-2021,Townhouse,927 S Conkling St,Baltimore,MD,21224,610000,3,3.5,Ward 26,2438,871,2011,,250,,Sold,,,https://www.redfin.com/MD/Baltimore/927-S-Conkling-St-21224/home/12055720,BRIGHT MLS,MDBA550484,N,Y,39.2818644,-76.5665809
PAST SALE,October-2-2020,Townhouse,602 Dean St,Baltimore,MD,21224,499000,3,4.0,CANTON,2400,,2020,,208,70,Sold,,,https://www.redfin.com/MD/Baltimore/602-S-Dean-St-21224/home/145120272,BRIGHT MLS,MDBA521700,N,Y,39.2852109,-76.5667199
