SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE https://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
PAST SALE,,Condo/Co-op,1200 Steuart St #1031,Baltimore,MD,21230,390000,,,,2244,,2011,,174,,,,,https://www.redfin.com/MD/Baltimore/1200-Steuart-St-21230/unit-1031/home/23454477,,,N,Y,39.2697734,-76.5886798
PAST SALE,May-25-2020,Single Family Residential,908 43rd St E,Baltimore,MD,21212,12500,2,2.0,Baltimore,1000,,2020,,13,,Sold,,,https://www.redfin.com/MD/Baltimore/908-E-43rd-St-21212/home/172535337,BRIGHT MLS,MDBA517930,N,Y,39.3432486,-76.6022991
PAST SALE,February-16-2021,Townhouse,4619 Foster Ave,Baltimore,MD,21224,299900,2,2.5,Ward 26,1568,1306,2013,,191,64,Sold,,,https://www.redfin.com/MD/Baltimore/4619-Foster-Ave-21224/home/50276708,BRIGHT MLS,MDBA525552,N,Y,39.2848416,-76.5564434
PAST SALE,October-26-2020,Townhouse,201 S Newkirk St,Baltimore,MD,21224,338370,2,3.0,OLDHAM CROSSING,1622,1088,2020,,209,44,Sold,,,https://www.redfin.com/MD/Baltimore/201-S-Newkirk-St-21224/home/147011278,BRIGHT MLS,MDBA511956,N,Y,39.2900842,-76.5565703
PAST SALE,June-15-2020,Townhouse,162 S Oldham St,Baltimore,MD,21224,284270,2,2.5,OLDHAM CROSSING,1600,1088,2020,,178,44,Sold,,,https://www.redfin.com/MD/Baltimore/162-Oldham-St-21224/home/147011227,BRIGHT MLS,MDBA496940,N,Y,39.290911,-76.556251
PAST SALE,December-29-2020,Townhouse,232 S Newkirk St,Baltimore,MD,21224,325500,2,2.5,OLDHAM CROSSING,1600,1088,2020,,203,44,Sold,,,https://www.redfin.com/MD/Baltimore/232-S-Newkirk-St-21224/home/147011237,BRIGHT MLS,MDBA522902,N,Y,39.2892887,-76.5567664
PAST SALE,October-30-2020,Townhouse,211 S Newkirk St,Baltimore,MD,21224,312280,2,2.5,OLDHAM CROSSING,1392,1088,2020,,224,44,Sold,,,https://www.redfin.com/MD/Baltimore/211-S-Newkirk-St-21224/home/147011273,BRIGHT MLS,MDBA519350,N,Y,39.2898794,-76.5565567
PAST SALE,April-15-2022,Townhouse,4517 Foster Ave,Baltimore,MD,21224,325000,2,2.0,Ward 26,1568,915,2013,,207,73,Sold,,,https://www.redfin.com/MD/Baltimore/4517-Foster-Ave-21224/home/59254455,BRIGHT MLS,MDBA2035128,N,Y,39.2848278,-76.5578189
PAST SALE,February-1-2022,Townhouse,868 S Macon St,Baltimore,MD,21224,302000,2,2.5,Ward 26,1568,871,2016,,193,64,Sold,,,https://www.redfin.com/MD/Baltimore/868-S-Macon-St-21224/home/108434533,BRIGHT MLS,MDBA2001472,N,Y,39.28329421,-76.55729825
PAST SALE,October-3-2020,Condo/Co-op,1330 Lancaster St #1101,Baltimore,MD,21231,1350000,2,2.0,HARBOR EAST,2118,,2019,,637,1582,Sold,,,https://www.redfin.com/MD/Baltimore/1330-Lancaster-St-21231/unit-1101/home/173348382,BRIGHT MLS,MDBA526692,N,Y,39.282473,-76.5975395
PAST SALE,,Townhouse,1723 Lantern Mews,Baltimore,MD,21205,325000,,2.5,,1610,1394,2016,,202,,,,,https://www.redfin.com/MD/Baltimore/1723-Lantern-Mews-21205/home/108434266,,,N,Y,39.3026119,-76.5930004
PAST SALE,October-29-2021,Townhouse,120 S Newkirk St,Baltimore,MD,21224,332500,2,2.5,Ward 26,1612,,2018,,206,44,Sold,,,https://www.redfin.com/MD/Baltimore/120-S-Newkirk-St-21224/home/146869197,BRIGHT MLS,MDBA2009362,N,Y,39.2910362,-76.5570302
PAST SALE,June-16-2020,Townhouse,164 Oldham St,Baltimore,MD,21224,330445,2,2.5,OLDHAM CROSSING,1370,1088,2020,,241,44,Sold,,,https://www.redfin.com/MD/Baltimore/164-Oldham-St-21224/home/147011226,BRIGHT MLS,MDBA493182,N,Y,39.2908834,-76.5562489
PAST SALE,December-30-2021,Condo/Co-op,1330 Lancaster St Unit C1002,Baltimore,MD,21231,1700000,2,2.5,HARBOR EAST,2024,,2019,,840,1600,Sold,,,https://www.redfin.com/MD/Baltimore/1330-Lancaster-St-21231/unit-C1002/home/174577706,BRIGHT MLS,MDBA2024442,N,Y,39.282799,-76.598518
PAST SALE,November-19-2020,Townhouse,213 S Newkirk St,Baltimore,MD,21224,321720,2,3.0,OLDHAM CROSSING,1687,1088,2020,,191,44,Sold,,,https://www.redfin.com/MD/Baltimore/213-S-Newkirk-St-21224/home/147011272,BRIGHT MLS,MDBA519358,N,Y,39.2897901,-76.5565498
PAST SALE,,Townhouse,830 S Macon St,Baltimore,MD,21224,371400,,3.5,,2004,1220,2016,,185,,,,,https://www.redfin.com/MD/Baltimore/830-S-Macon-St-21224/home/108433964,,,N,Y,39.2834926,-76.5579504
PAST SALE,,Townhouse,4716 Marlene Mews,Baltimore,MD,21224,325000,,4.0,,1600,1568,2018,,203,,,,,https://www.redfin.com/MD/Baltimore/4716-Marlene-Mews-21224/home/166333464,,,N,Y,39.2906051,-76.55624
PAST SALE,September-17-2021,Townhouse,950 S Macon St,Baltimore,MD,21224,359900,2,2.5,Ward 26,1524,1306,2015,,236,64,Sold,,,https://www.redfin.com/MD/Baltimore/950-S-Macon-St-21224/home/85691380,BRIGHT MLS,MDBA548170,N,Y,39.2820954,-76.5575629
PAST SALE,December-10-2021,Townhouse,210 S Macon St,Baltimore,MD,21224,322000,2,2.5,Ward 26,1600,,2019,,201,88,Sold,,,https://www.redfin.com/MD/Baltimore/210-S-Macon-St-21224/home/147010872,BRIGHT MLS,MDBA2014332,N,Y,39.2897498,-76.5576962
PAST SALE,December-19-2021,Condo/Co-op,300 International Dr Unit 2403R,Baltimore,MD,21202,1700000,2,2.0,Ward 3,,,2017,,,2565,Sold,,,https://www.redfin.com/MD/Baltimore/300-International-Dr-21202/unit-2403R/home/179395254,BRIGHT MLS,MDBA534936,N,Y,39.2825476,-76.6021343
PAST SALE,November-1-2021,Condo/Co-op,1200 Steuart St #1811,Baltimore,MD,21230,775000,2,2.5,Ward 24,2196,,2011,,353,1169,Sold,,,https://www.redfin.com/MD/Baltimore/1200-Steuart-St-21230/unit-1811/home/23457158,BRIGHT MLS,MDBA2006722,N,Y,39.2697734,-76.5886798
PAST SALE,,Townhouse,701 S Durham St,Baltimore,MD,21231,615000,,2.0,,1860,741,2015,,331,,,,,https://www.redfin.com/MD/Baltimore/701-S-Durham-St-21231/home/63533525,,,N,Y,39.2835376,-76.5904842
PAST SALE,February-28-2022,Condo/Co-op,2700 Stone Cliff Dr #108,Baltimore,MD,21209,615000,2,2.5,THE BLUFFS AT QUARRY LAKE,2216,,2012,,278,595,Sold,,,https://www.redfin.com/MD/Baltimore/2700-Stone-Cliff-Dr-21209/unit-108/home/52926132,BRIGHT MLS,MDBC2022878,N,Y,39.3811712,-76.6939201
PAST SALE,January-2-2021,Condo/Co-op,1330 Lancaster St #304,Baltimore,MD,21231,1375000,2,2.5,HARBOR EAST,1900,,2019,,724,1446,Sold,,,https://www.redfin.com/MD/Baltimore/1330-Lancaster-St-21231/unit-304/home/173447409,BRIGHT MLS,MDBA527648,N,Y,39.282473,-76.5975395
PAST SALE,November-1-2020,Condo/Co-op,1330 Lancaster St #504,Baltimore,MD,21231,1400000,2,2.5,HARBOR EAST,1900,,2019,,737,1441,Sold,,,https://www.redfin.com/MD/Baltimore/1330-Lancaster-St-21231/unit-504/home/173599274,BRIGHT MLS,MDBA529882,N,Y,39.282473,-76.5975395
PAST SALE,April-15-2022,Townhouse,1002 Rutland Ave,Baltimore,MD,21205,330000,2,2.5,Ward 7,1600,,2016,,206,50,Sold,,,https://www.redfin.com/MD/Baltimore/1002-Rutland-Ave-21205/home/10768734,BRIGHT MLS,MDBA2037102,N,Y,39.3020433,-76.5926312
PAST SALE,October-8-2020,Condo/Co-op,1330 Lancaster St #801,Baltimore,MD,21231,1375000,2,2.0,HARBOR EAST,2118,,2019,,649,1605,Sold,,,https://www.redfin.com/MD/Baltimore/1330-Lancaster-St-21231/unit-801/home/173375771,BRIGHT MLS,MDBA527250,N,Y,39.282473,-76.5975395
PAST SALE,,Condo/Co-op,300 International Dr #2301,Baltimore,MD,21202,2600000,,,,,,,,,,,,,https://www.redfin.com/MD/Baltimore/300-International-Dr-21202/unit-2301/home/167137716,,,N,Y,39.2825476,-76.6021343
PAST SALE,January-13-2021,Townhouse,404 Grundy St,Baltimore,MD,21224,315000,2,3.0,Ward 26,1600,,2011,,197,,Sold,,,https://www.redfin.com/MD/Baltimore/404-Grundy-St-21224/home/21997992,BRIGHT MLS,MDBA520334,N,Y,39.2875375,-76.5635424
