SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE https://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
PAST SALE,,Townhouse,604 Eislen St,Baltimore,MD,21230,155000,,1.0,,456,915,2012,,340,,,,,https://www.redfin.com/MD/Baltimore/604-Eislen-St-21230/home/11006049,,,N,Y,39.283734,-76.624641
PAST SALE,April-28-2021,Condo/Co-op,1200 Steuart St #1813,Baltimore,MD,21230,467000,1,1.5,Ward 24,1574,,2011,,297,776,Sold,,,https://www.redfin.com/MD/Baltimore/1200-Steuart-St-21230/unit-1813/home/23457159,BRIGHT MLS,MDBA548928,N,Y,39.2697734,-76.5886798
PAST SALE,,Condo/Co-op,1200 Steuart St #1713,Baltimore,MD,21230,450000,,,,1583,,2011,,284,,,,,https://www.redfin.com/MD/Baltimore/1200-Steuart-St-21230/unit-1713/home/23454469,,,N,Y,39.2697734,-76.5886798
PAST SALE,May-3-2022,Condo/Co-op,1200 Steuart St #814,Baltimore,MD,21230,401900,1,1.5,Ward 24,1309,,2010,,307,722,Sold,,,https://www.redfin.com/MD/Baltimore/1200-Steuart-St-21230/unit-814/home/23456197,BRIGHT MLS,MDBA2038604,N,Y,39.2697734,-76.5886798
PAST SALE,May-4-2022,Condo/Co-op,1200 Steuart St #531,Baltimore,MD,21230,368500,1,1.5,Ward 24,1507,,2011,,245,733,Sold,,,https://www.redfin.com/MD/Baltimore/1200-Steuart-St-21230/unit-531/home/23457748,BRIGHT MLS,MDBA2033104,N,Y,39.2697734,-76.5886798
