SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE https://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
PAST SALE,,Townhouse,4909 Barbara Ave,Baltimore,MD,21206,139900,2,2.0,,1220,5925,1974,,115,,,,,https://www.redfin.com/MD/Baltimore/4909-Barbara-Ave-21206/home/11117112,,,N,Y,39.3296454,-76.5503206
PAST SALE,September-1-2020,Condo/Co-op,2 Longstream Ct #302,Baltimore,MD,21209,143000,2,1.0,ROCKLAND RUN,1234,,1975,,116,281,Sold,,,https://www.redfin.com/MD/Baltimore/2-Longstream-Ct-21209/unit-302/home/9543662,BRIGHT MLS,MDBC496262,N,Y,39.3881534,-76.6671023
PAST SALE,,Condo/Co-op,349 Homeland Southway Unit 3C,Baltimore,MD,21212,169500,,,,1043,,,,163,,,,,https://www.redfin.com/MD/Baltimore/349-Homeland-Southway-21212/unit-3C/home/11208268,,,N,Y,39.3520025,-76.6145097
PAST SALE,April-28-2022,Condo/Co-op,4401 Roland Ave #115,Baltimore,MD,21210,159000,2,2.0,Ward 27,1343,,1965,,118,681,Sold,,,https://www.redfin.com/MD/Baltimore/4401-Roland-Ave-21210/unit-115/home/11156417,BRIGHT MLS,MDBA2037788,N,Y,39.3433409,-76.6344573
PAST SALE,August-27-2020,Condo/Co-op,22 Cross Keys Rd Unit 22C,Baltimore,MD,21210,189900,2,2.0,Ward 27,1157,,1970,,164,457,Sold,,,https://www.redfin.com/MD/Baltimore/22-Cross-Keys-Rd-21210/unit-22C/home/11162568,BRIGHT MLS,MDBA504106,N,Y,39.3533967,-76.6444352
PAST SALE,,Condo/Co-op,6711 Park Heights Ave #206,Baltimore,MD,21215,66500,,,,1198,,,,56,,,,,https://www.redfin.com/MD/Baltimore/6711-Park-Heights-Ave-21215/unit-206/home/11175621,,,N,Y,39.3635243,-76.700032
PAST SALE,,Condo/Co-op,6606 Park Heights Ave #111,Baltimore,MD,21215,52000,,,,1267,,,,41,,,,,https://www.redfin.com/MD/Baltimore/6606-Park-Heights-Ave-21215/unit-111/home/11181461,,,N,Y,39.361441,-76.7000188
PAST SALE,,Condo/Co-op,6606 Park Heights Ave #311,Baltimore,MD,21215,55000,,,,1297,,,,42,,,,,https://www.redfin.com/MD/Baltimore/6606-Park-Heights-Ave-21215/unit-311/home/11181484,,,N,Y,39.361441,-76.7000188
PAST SALE,,Condo/Co-op,6606 Park Heights Ave #711,Baltimore,MD,21215,77000,,,,1297,,,,59,,,,,https://www.redfin.com/MD/Baltimore/6606-Park-Heights-Ave-21215/unit-711/home/11181527,,,N,Y,39.361441,-76.7000188
PAST SALE,November-19-2021,Condo/Co-op,6210 Park Heights Ave #505,Baltimore,MD,21215,95000,2,2.0,Ward 27,1406,,1968,,68,870,Sold,,,https://www.redfin.com/MD/Baltimore/6210-Park-Heights-Ave-21215/unit-505/home/11182685,BRIGHT MLS,MDBA2011212,N,Y,39.3583036,-76.6941161
PAST SALE,,Condo/Co-op,132 W Barre St Unit R36,Baltimore,MD,21201,235000,,,,1045,,,,225,,,,,https://www.redfin.com/MD/Baltimore/132-W-Barre-St-21201/unit-R36/home/11005093,,,N,Y,39.283595,-76.616982
PAST SALE,,Townhouse,246 W Lafayette Ave,Baltimore,MD,21217,275000,,1.5,,1485,1980,1966,,185,,,,,https://www.redfin.com/MD/Baltimore/246-W-Lafayette-Ave-21217/home/10880862,,,N,Y,39.305719,-76.6260973
PAST SALE,,Condo/Co-op,351 Homeland Southway Unit 1A,Baltimore,MD,21212,126500,,,,1091,,,,116,,,,,https://www.redfin.com/MD/Baltimore/351-Homeland-Southway-21212/unit-1A/home/11208273,,,N,Y,39.3531733,-76.6144145
PAST SALE,,Condo/Co-op,2241 Clove Ter,Baltimore,MD,21209,119000,,,,1023,,,,116,,,,,https://www.redfin.com/MD/Baltimore/2241-Clove-Ter-21209/home/11212564,,,N,Y,39.3468285,-76.6552703
PAST SALE,February-25-2022,Condo/Co-op,1101 Saint Paul St #604,Baltimore,MD,21202,184900,2,2.0,Ward 11,1232,,1965,,150,525,Sold,,,https://www.redfin.com/MD/Baltimore/1101-St-Paul-St-21202/unit-604/home/10834649,BRIGHT MLS,MDBA2025764,N,Y,39.3026522,-76.6140583
PAST SALE,,Condo/Co-op,4000 N Charles St #701,Baltimore,MD,21218,215000,,2.0,,1212,,,,177,,,,,https://www.redfin.com/MD/Baltimore/4000-N-Charles-St-21218/unit-701/home/10836773,,,N,Y,39.338107,-76.618955
PAST SALE,,Condo/Co-op,353 Homeland Southway Unit 1D,Baltimore,MD,21212,124000,,,,1091,,,,114,,,,,https://www.redfin.com/MD/Baltimore/353-Homeland-Southway-21212/unit-1D/home/11208319,,,N,Y,39.3519097,-76.6128239
PAST SALE,April-28-2022,Single Family Residential,4804 Kenwood Ave,Baltimore,MD,21206,159000,2,3.0,KRESS,968,11760,1973,,164,,Sold,,,https://www.redfin.com/MD/Baltimore/4804-Kenwood-Ave-21206/home/9414199,BRIGHT MLS,MDBC2023744,N,Y,39.3558926,-76.5194014
