SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE https://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
PAST SALE,May-3-2022,Single Family Residential,3506 Woodlea Ave,Baltimore,MD,21214,332000,4,2.5,Ward 27,2070,6312,1940,,160,,Sold,,,https://www.redfin.com/MD/Baltimore/3506-Woodlea-Ave-21214/home/11128673,BRIGHT MLS,MDBA2038668,N,Y,39.3423502,-76.5607215
PAST SALE,February-25-2022,Townhouse,2500 E Fayette St,Baltimore,MD,21224,290000,4,2.0,Ward 6,1560,945,1910,,186,,Sold,,,https://www.redfin.com/MD/Baltimore/2500-E-Fayette-St-21224/home/10754878,BRIGHT MLS,MDBA2026200,N,Y,39.2946071,-76.5818875
PAST SALE,,Townhouse,4 Chancery Sq,Baltimore,MD,21218,572500,,4.0,,3024,9148,1920,,189,,,,,https://www.redfin.com/MD/Baltimore/4-Chancery-Sq-21218/home/10851485,,,N,Y,39.3342405,-76.6115534
PAST SALE,June-4-2021,Single Family Residential,609 Washburn Ave,Baltimore,MD,21225,177500,4,1.0,Ward 25,1482,7048,1934,,120,,Sold,,,https://www.redfin.com/MD/Baltimore/609-Washburn-Ave-21225/home/11052453,BRIGHT MLS,MDBA550878,N,Y,39.233703,-76.6023004
PAST SALE,November-22-2021,Single Family Residential,3033 Pinewood Ave,Baltimore,MD,21214,312000,4,2.5,Ward 27,2244,7235,1936,,139,,Sold,,,https://www.redfin.com/MD/Baltimore/3033-Pinewood-Ave-21214/home/11142015,BRIGHT MLS,MDBA2008766,N,Y,39.3603483,-76.5509127
PAST SALE,August-9-2021,Single Family Residential,309 Broadmoor Rd,Baltimore,MD,21212,575000,4,3.5,Ward 27,1780,10110,1938,,323,21,Sold,,,https://www.redfin.com/MD/Baltimore/309-Broadmoor-Rd-21212/home/11152662,BRIGHT MLS,MDBA2000498,N,Y,39.3554985,-76.6146225
PAST SALE,,Single Family Residential,4915 Catalpha Rd,Baltimore,MD,21214,225000,,2.5,,1368,6499,1918,,164,,,,,https://www.redfin.com/MD/Baltimore/4915-Catalpha-Rd-21214/home/11185986,,,N,Y,39.3484488,-76.5712976
PAST SALE,,Single Family Residential,3807 Greenmount Ave,Baltimore,MD,21218,171000,,2.0,,1440,4941,1949,,119,,,,,https://www.redfin.com/MD/Baltimore/3807-Greenmount-Ave-21218/home/10803427,,,N,Y,39.3361061,-76.6091161
PAST SALE,April-2-2021,Townhouse,1831 E 29th St,Baltimore,MD,21218,126500,4,2.0,Ward 9,1200,7841,1922,,105,,Sold,,,https://www.redfin.com/MD/Baltimore/1831-E-29th-St-21218/home/10820556,BRIGHT MLS,MDBA537330,N,Y,39.3244272,-76.5894918
PAST SALE,January-28-2022,Single Family Residential,5915 Bertram Ave,Baltimore,MD,21214,280000,4,3.0,Ward 27,1582,7061,1938,,177,,Sold,,,https://www.redfin.com/MD/Baltimore/5915-Bertram-Ave-21214/home/11132803,BRIGHT MLS,MDBA2017046,N,Y,39.3526838,-76.551002
