SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE https://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
PAST SALE,September-30-2021,Townhouse,5404 Sinclair Greens Dr,Baltimore,MD,21206,260000,4,3.0,Ward 26,1600,2962,2005,,163,60,Sold,,,https://www.redfin.com/MD/Baltimore/5404-Sinclair-Greens-Dr-21206/home/11891598,BRIGHT MLS,MDBA2005388,N,Y,39.3206229,-76.5390023
PAST SALE,,Condo/Co-op,2319 Boston St #5,Baltimore,MD,21224,461000,,,,2880,,2002,,160,,,,,https://www.redfin.com/MD/Baltimore/2319-Boston-St-21224/unit-5/home/28546372,,,N,Y,39.2830909,-76.5852743
PAST SALE,February-25-2021,Townhouse,731 E Fort Ave,Baltimore,MD,21230,440000,4,3.5,Ward 24,2090,1306,2008,,211,43,Sold,,,https://www.redfin.com/MD/Baltimore/731-E-Fort-Ave-21230/home/12437735,BRIGHT MLS,MDBA533254,N,Y,39.2720854,-76.6030702
PAST SALE,,Townhouse,850 Ryan St,Baltimore,MD,21230,295000,,3.0,,1888,1829,2006,,156,,,,,https://www.redfin.com/MD/Baltimore/850-Ryan-St-21230/home/25787107,,,N,Y,39.2843808,-76.630859
PAST SALE,,Townhouse,310 Scott St,Baltimore,MD,21230,275000,,2.5,,1840,1263,2006,,149,,,,,https://www.redfin.com/MD/Baltimore/310-Scott-St-21230/home/23462776,,,N,Y,39.2842583,-76.6291354
PAST SALE,April-15-2022,Townhouse,6306 Canter Way #13,Baltimore,MD,21212,760000,4,4.5,WOODBROOK,4095,,2007,,186,582,Sold,,,https://www.redfin.com/MD/Baltimore/6306-Canter-Way-21212/unit-13/home/17478867,BRIGHT MLS,MDBC2024432,N,Y,39.3803112,-76.6268608
PAST SALE,April-14-2022,Townhouse,6320 Canter Way #6,Baltimore,MD,21212,715000,4,4.5,WOODBROOK,3788,2294,2008,,189,582,Sold,,,https://www.redfin.com/MD/Baltimore/6320-Canter-Way-21212/unit-6/home/21468652,BRIGHT MLS,MDBC2027914,N,Y,39.3810147,-76.6269443
PAST SALE,,Townhouse,403 S Poppleton St,Baltimore,MD,21230,360000,,3.5,,2120,1307,2005,,170,,,,,https://www.redfin.com/MD/Baltimore/403-S-Poppleton-St-21230/home/11222519,,,N,Y,39.2835694,-76.6316419
PAST SALE,November-18-2021,Single Family Residential,2000 Myrtlewood Rd,Baltimore,MD,21209,705000,4,3.5,BONNIE VIEW,4026,9537,2006,,175,89,Sold,,,https://www.redfin.com/MD/Baltimore/2000-Myrtlewood-Rd-21209/home/12278872,BRIGHT MLS,MDBC2012914,N,Y,39.3743505,-76.665433
PAST SALE,,Townhouse,707 S Streeper St,Baltimore,MD,21224,410000,,2.5,,2560,1176,2001,,160,,,,,https://www.redfin.com/MD/Baltimore/707-S-Streeper-St-21224/home/11221876,,,N,Y,39.2839425,-76.5762418
PAST SALE,,Townhouse,516 S Bond St,Baltimore,MD,21231,359900,,2.5,,2272,1428,1870,,158,,,,,https://www.redfin.com/MD/Baltimore/516-S-Bond-St-21231/home/10751266,,,N,Y,39.2850149,-76.5954731
PAST SALE,April-11-2022,Townhouse,25 Yogurt Ln,Baltimore,MD,21231,477000,4,3.5,Ward 2,2118,,2008,,225,95,Sold,,,https://www.redfin.com/MD/Baltimore/25-Yogurt-Ln-21231/home/12321655,BRIGHT MLS,MDBA2028460,N,Y,39.290627,-76.5930355
PAST SALE,,Townhouse,227 S Chester St,Baltimore,MD,21231,445000,,2.5,,2205,1228,2004,,202,,,,,https://www.redfin.com/MD/Baltimore/227-S-Chester-St-21231/home/10726285,,,N,Y,39.2884911,-76.5870315
PAST SALE,June-24-2021,Townhouse,2422 Fleet St,Baltimore,MD,21224,490000,4,4.5,Ward 1,2508,871,2003,,195,,Sold,,,https://www.redfin.com/MD/Baltimore/2422-Fleet-St-21224/home/12261820,BRIGHT MLS,MDBA552448,N,Y,39.2852239,-76.5820882
PAST SALE,,Condo/Co-op,1030 Pointe Lndg #104,Baltimore,MD,21230,568000,4,3.5,,3092,,2006,,184,,,,,https://www.redfin.com/MD/Baltimore/1030-Pointe-Lndg-21230/unit-104/home/11892410,,,N,Y,39.2779424,-76.6060581
PAST SALE,September-14-2021,Single Family Residential,2600 Garrison Blvd,Baltimore,MD,21216,300000,4,3.0,Ward 15,3824,7897,2007,,78,,Sold,,,https://www.redfin.com/MD/Baltimore/2600-Garrison-Blvd-21216/home/10913361,BRIGHT MLS,MDBA2006746,N,Y,39.3173642,-76.6772089
PAST SALE,,Townhouse,3602 Bancroft Rd,Baltimore,MD,21215,325000,,2.5,,1690,1612,2009,,192,,,,,https://www.redfin.com/MD/Baltimore/3602-Bancroft-Rd-21215/home/28546471,,,N,Y,39.3611838,-76.6988871
PAST SALE,,Townhouse,1810 Webster St,Baltimore,MD,21230,475000,,2.5,,1883,1307,2005,,252,,,,,https://www.redfin.com/MD/Baltimore/1810-Webster-St-21230/home/28546758,,,N,Y,39.2694328,-76.6043429
PAST SALE,,Townhouse,1029 S Clinton St,Baltimore,MD,21224,629000,,3.5,,3171,1568,2005,,198,,,,,https://www.redfin.com/MD/Baltimore/1029-S-Clinton-St-21224/home/11891719,,,N,Y,39.2807628,-76.569425
