SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE https://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
PAST SALE,January-15-2021,Single Family Residential,1207 W Lake Ave,Baltimore,MD,21210,410000,4,2.5,LAKE FALLS,2007,13285,1989,,204,,Sold,,,https://www.redfin.com/MD/Baltimore/1207-W-Lake-Ave-21210/home/9677971,BRIGHT MLS,MDBC510978,N,Y,39.3728422,-76.6480171
PAST SALE,April-7-2021,Townhouse,416 N Washington St,Baltimore,MD,21231,195000,4,4.0,Ward 6,1152,871,1984,,169,13,Sold,,,https://www.redfin.com/MD/Baltimore/416-N-Washington-St-21231/home/10756849,BRIGHT MLS,MDBA540756,N,Y,39.2960228,-76.5896047
PAST SALE,,Single Family Residential,4006 Pinewood Ave,Baltimore,MD,21206,170000,,2.5,,1560,7248,1985,,109,,,,,https://www.redfin.com/MD/Baltimore/4006-Pinewood-Ave-21206/home/11140328,,,N,Y,39.355394,-76.5324264
PAST SALE,,Townhouse,2731 Valley Park Dr,Baltimore,MD,21209,320000,,3.5,,1935,2156,1992,,165,,,,,https://www.redfin.com/MD/Baltimore/2731-Valley-Park-Dr-21209/home/9550252,,,N,Y,39.3889094,-76.6811626
PAST SALE,September-21-2021,Townhouse,5701 Visitation Way,Roland Park,MD,21210,625000,4,3.5,Ward 27,2914,2640,1982,,214,260,Sold,,,https://www.redfin.com/MD/Baltimore/5701-Visitation-Way-21210/home/11160361,BRIGHT MLS,MDBA2006266,N,Y,39.3676263,-76.6363751
PAST SALE,July-16-2020,Single Family Residential,6826 Old Pimlico Rd,Baltimore,MD,21209,533000,4,2.5,SUMMIT PARK,2296,12026,1992,,232,,Sold,,,https://www.redfin.com/MD/Baltimore/6826-Old-Pimlico-Rd-21209/home/9549968,BRIGHT MLS,MDBC497770,N,Y,39.3803257,-76.6752453
PAST SALE,,Single Family Residential,3200 Lorena Ave,Halethorpe,MD,21227,124000,,1.5,,1490,6000,1989,,83,,,,,https://www.redfin.com/MD/Halethorpe/3200-Lorena-Ave-21227/home/11041421,,,N,Y,39.2533309,-76.6544243
PAST SALE,,Townhouse,15 Hurdleford Ct,Baltimore,MD,21209,385000,,3.0,,2316,3998,1992,,166,,,,,https://www.redfin.com/MD/Baltimore/15-Hurdleford-Ct-21209/home/9550671,,,N,Y,39.383068,-76.679978
PAST SALE,August-31-2020,Townhouse,6902 10 Timbers Ln,Baltimore,MD,21209,292000,4,3.5,SUMMIT RIDGE,2096,1784,1985,,139,150,Sold,,,https://www.redfin.com/MD/Baltimore/6902-Ten-Timbers-Ln-21209/home/9544228,BRIGHT MLS,MDBC498600,N,Y,39.381808,-76.672224
PAST SALE,,Townhouse,4111 Pascal Ave,Baltimore,MD,21226,139000,,2.0,,1566,3223,1997,,89,,,,,https://www.redfin.com/MD/Baltimore/4111-Pascal-Ave-21226/home/11057736,,,N,Y,39.2279161,-76.5913314
PAST SALE,June-21-2021,Single Family Residential,1 Day Star Ct,Baltimore,MD,21206,385000,4,3.5,DAYBREAK ESTATES,2817,6917,1986,,137,,Sold,,,https://www.redfin.com/MD/Baltimore/1-Day-Star-Ct-21206/home/9420711,BRIGHT MLS,MDBC529240,N,Y,39.3442492,-76.5175853
PAST SALE,,Single Family Residential,8 Ruby Field Ct,Baltimore,MD,21209,580000,,2.5,,3016,9395,1990,,192,,,,,https://www.redfin.com/MD/Baltimore/8-Ruby-Field-Ct-21209/home/9549645,,,N,Y,39.381873,-76.675719
PAST SALE,December-16-2021,Townhouse,22 Houndswood Ct,Baltimore,MD,21209,451000,4,3.5,SUMMIT CHASE,1867,3960,1991,,242,240,Sold,,,https://www.redfin.com/MD/Baltimore/22-Houndswood-Ct-21209/home/9550657,BRIGHT MLS,MDBC2015492,N,Y,39.3834859,-76.6793279
PAST SALE,August-17-2020,Townhouse,32 Stridesham Ct,Baltimore,MD,21209,358500,4,3.5,SUMMIT CHASE,2098,4109,1993,,171,240,Sold,,,https://www.redfin.com/MD/Baltimore/32-Stridesham-Ct-21209/home/9551024,BRIGHT MLS,MDBC496118,N,Y,39.3827781,-76.6841998
PAST SALE,February-28-2022,Single Family Residential,5113 Yellowwood Ave,Baltimore,MD,21209,300000,4,2.0,Ward 27,1896,4443,1996,,158,25,Sold,,,https://www.redfin.com/MD/Baltimore/5113-Yellowwood-Ave-21209/home/11212337,BRIGHT MLS,MDBA554452,N,Y,39.3496893,-76.6549657
PAST SALE,September-14-2021,Townhouse,508 S Hanover St,Baltimore,MD,21201,467000,4,3.0,Ward 22,2304,1000,1980,,203,40,Sold,,,https://www.redfin.com/MD/Baltimore/508-S-Hanover-St-21201/home/11006461,BRIGHT MLS,MDBA2007984,N,Y,39.2828823,-76.6161233
PAST SALE,November-12-2020,Townhouse,1309 Aisquith St,Baltimore,MD,21202,77142,4,2.0,Ward 9,,1328,1985,,,,Sold,,,https://www.redfin.com/MD/Baltimore/1309-Aisquith-St-21202/home/10810430,BRIGHT MLS,MDBA523778,N,Y,39.3057042,-76.6021398
PAST SALE,,Townhouse,12 Stridesham Ct,Baltimore,MD,21209,375000,,2.5,,1910,2018,1994,,196,,,,,https://www.redfin.com/MD/Baltimore/12-Stridesham-Ct-21209/home/9551041,,,N,Y,39.3819783,-76.6845945
PAST SALE,September-30-2020,Single Family Residential,5702 Saint Albans Way,Baltimore,MD,21212,679000,4,2.5,Ward 27,3422,8886,1983,,198,6,Sold,,,https://www.redfin.com/MD/Baltimore/5702-St-Albans-Way-21212/home/11212092,BRIGHT MLS,MDBA518588,N,Y,39.3667594,-76.6227915
PAST SALE,,Condo/Co-op,920 N Eden St,Baltimore,MD,21205,71500,,,,1728,,1982,,41,,,,,https://www.redfin.com/MD/Baltimore/920-N-Eden-St-21205/home/10831027,,,N,Y,39.3007429,-76.5994905
PAST SALE,September-10-2021,Townhouse,1016 S Streeper St,Baltimore,MD,21224,450000,4,4.5,Ward 1,2780,,2000,,162,,Sold,,,https://www.redfin.com/MD/Baltimore/1016-S-Streeper-St-21224/home/11221862,BRIGHT MLS,MDBA2004234,N,Y,39.2809076,-76.5763546
PAST SALE,,Townhouse,1202 S Linwood Ave,Baltimore,MD,21224,495000,,3.5,,2039,1462,1987,,243,,,,,https://www.redfin.com/MD/Baltimore/1202-S-Linwood-Ave-21224/home/10733275,,,N,Y,39.2786842,-76.5754856
