SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE https://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
PAST SALE,,Single Family Residential,1105 Washingtonville Dr,Baltimore,MD,21210,950000,,4.5,,3513,29359,2002,,270,,,,,https://www.redfin.com/MD/Baltimore/1105-Washingtonville-Dr-21210/home/11222169,,,N,Y,39.37127,-76.6471598
PAST SALE,August-3-2020,Single Family Residential,2308 Winterwood Rd,Baltimore,MD,21209,750000,5,4.5,BONNIE VIEW ESTATES,5426,10454,2010,,138,268,Sold,,,https://www.redfin.com/MD/Baltimore/2308-Winterwood-Rd-21209/home/40029187,BRIGHT MLS,MDBC496324,N,Y,39.3771228,-76.6702828
PAST SALE,June-21-2021,Single Family Residential,2026 Myrtlewood Rd,Baltimore,MD,21209,715000,5,4.5,BONNIE VIEW,4855,7909,2006,,147,68,Sold,,,https://www.redfin.com/MD/Baltimore/2026-Myrtlewood-Rd-21209/home/9710957,BRIGHT MLS,MDBC518422,N,Y,39.3730135,-76.6672827
PAST SALE,April-12-2021,Single Family Residential,6602 Clarington Rd,Baltimore,MD,21209,702000,5,3.5,BONNIE VIEW,2712,9000,2009,,259,89,Sold,,,https://www.redfin.com/MD/Baltimore/6602-Clarington-Rd-21209/home/11752293,BRIGHT MLS,MDBC521828,N,Y,39.3739293,-76.6707114
PAST SALE,July-26-2021,Townhouse,3622 Bancroft Rd,Baltimore,MD,21215,320000,5,3.5,Ward 27,2160,720,2009,,148,94,Sold,,,https://www.redfin.com/MD/Baltimore/3622-Bancroft-Rd-21215/home/28546463,BRIGHT MLS,MDBA2005778,N,Y,39.3607744,-76.6994344
PAST SALE,July-31-2020,Single Family Residential,2302 Crabury Rd,Baltimore,MD,21209,741000,5,4.5,THE PARKE AT MOUNT WASHINGTON,4578,7920,2009,,162,89,Sold,,,https://www.redfin.com/MD/Baltimore/2302-Crabury-Rd-21209/home/11752268,BRIGHT MLS,MDBC497162,N,Y,39.3734301,-76.6700122
PAST SALE,January-12-2022,Single Family Residential,6917 Old Pimlico Rd,Baltimore,MD,21209,850000,5,4.5,BROOKFALLS,5048,28314,2004,,168,,Sold,,,https://www.redfin.com/MD/Baltimore/6917-Old-Pimlico-Rd-21209/home/9691150,BRIGHT MLS,MDBC2011478,N,Y,39.3830562,-76.6700003
PAST SALE,October-1-2021,Single Family Residential,2510 Stone Cliff Dr,Baltimore,MD,21209,872000,5,4.5,QUARRY LAKE,5214,9801,2006,,167,179,Sold,,,https://www.redfin.com/MD/Baltimore/2510-Stone-Cliff-Dr-21209/home/9708726,BRIGHT MLS,MDBC2008328,N,Y,39.3805193,-76.6866807
PAST SALE,,Townhouse,3613 Bancroft Rd,Baltimore,MD,21215,325000,,2.5,,1690,720,2009,,192,,,,,https://www.redfin.com/MD/Baltimore/3613-Bancroft-Rd-21215/home/28546528,,,N,Y,39.3607575,-76.6988593
PAST SALE,July-15-2020,Single Family Residential,2012 Myrtlewood Rd,Baltimore,MD,21209,705000,5,4.5,BONNIE VIEW,4820,10154,2006,,146,89,Sold,,,https://www.redfin.com/MD/Baltimore/2012-Myrtlewood-Rd-21209/home/12278841,BRIGHT MLS,MDBC492468,N,Y,39.3744492,-76.6669669
PAST SALE,,Single Family Residential,1112 Washingtonville Dr,Baltimore,MD,21210,860000,,4.5,,3562,7841,2004,,241,,,,,https://www.redfin.com/MD/Baltimore/1112-Washingtonville-Dr-21210/home/11222162,,,N,Y,39.3715394,-76.6481074
PAST SALE,December-15-2021,Single Family Residential,6202 Thelma Garth,Baltimore,MD,21212,630000,5,3.0,Ward 27,3304,9104,2000,,191,,Sold,,,https://www.redfin.com/MD/Baltimore/6202-Thelma-Garth-21212/home/11211978,BRIGHT MLS,MDBA2000839,N,Y,39.3706034,-76.6202641
PAST SALE,September-16-2021,Townhouse,874 Ryan St,Baltimore,MD,21230,350000,5,4.0,Ward 21,2040,1306,2005,,172,108,Sold,,,https://www.redfin.com/MD/Baltimore/874-Ryan-St-21230/home/11222524,BRIGHT MLS,MDBA2007778,N,Y,39.2841261,-76.6313465
PAST SALE,,Single Family Residential,6607 Pebble Brooke Rd,Baltimore,MD,21209,800000,,4.5,,4169,9828,2008,,192,,,,,https://www.redfin.com/MD/Baltimore/6607-Pebble-Brooke-Rd-21209/home/11752296,,,N,Y,39.3741484,-76.6686587
PAST SALE,June-5-2020,Single Family Residential,6616 Pebble Brooke Rd,Baltimore,MD,21209,630000,5,3.5,THE PARKE AT MOUNT WASHINGTON,4139,8275,2007,,152,89,Sold,,,https://www.redfin.com/MD/Baltimore/6616-Pebble-Brooke-Rd-21209/home/11752302,BRIGHT MLS,MDBC490450,N,Y,39.3746392,-76.6696287
PAST SALE,September-18-2020,Townhouse,616 Ponte Villas N #166,Baltimore,MD,21230,1140000,5,3.5,THE PIER HOMES AT HARBORVIEW,3732,,2010,,305,1120,Sold,,,https://www.redfin.com/MD/Baltimore/616-Ponte-Villas-N-21230/unit-166/home/28546439,BRIGHT MLS,1000421388,N,Y,39.279321,-76.604841
PAST SALE,November-24-2020,Single Family Residential,2036 Willowcrest Cir,Baltimore,MD,21209,625000,5,3.5,THE PARKE AT MOUNT WASHINGTON,3739,9614,2006,,167,89,Sold,,,https://www.redfin.com/MD/Baltimore/2036-Willowcrest-Cir-21209/home/12278863,BRIGHT MLS,MDBC501312,N,Y,39.3754361,-76.6660421
PAST SALE,,Single Family Residential,4302 Penhurst Ave,Baltimore,MD,21215,239900,,4.5,,1948,7500,2004,,123,,,,,https://www.redfin.com/MD/Baltimore/4302-Penhurst-Ave-21215/home/11222296,,,N,Y,39.3389067,-76.6920522
PAST SALE,,Single Family Residential,6506 Clarington Rd,Baltimore,MD,21209,675000,,3.5,,3651,9539,2009,,185,,,,,https://www.redfin.com/MD/Baltimore/6506-Clarington-Rd-21209/home/28508924,,,N,Y,39.3711057,-76.6710723
PAST SALE,September-17-2020,Single Family Residential,6522 Clarington Rd,Baltimore,MD,21209,700000,5,3.0,BONNIE VIEW,4194,11170,2009,,167,89,Sold,,,https://www.redfin.com/MD/Baltimore/6522-Clarington-Rd-21209/home/11752257,BRIGHT MLS,MDBC506928,N,Y,39.3728877,-76.6708242
