SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE https://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
PAST SALE,,Single Family Residential,5500 Lombardy Pl,Baltimore,MD,21210,650000,,2.5,,3460,5771,1928,,188,,,,,https://www.redfin.com/MD/Baltimore/5500-Lombardy-Pl-21210/home/11161600,,,N,Y,39.362887,-76.637306
PAST SALE,March-11-2021,Townhouse,820 N Woodington Rd,Baltimore,MD,21229,208500,5,2.5,Ward 28,1784,2178,1928,,117,,Sold,,,https://www.redfin.com/MD/Baltimore/820-N-Woodington-Rd-21229/home/11218190,BRIGHT MLS,MDBA537566,N,Y,39.2970686,-76.6864552
PAST SALE,May-14-2020,Single Family Residential,4134 Wilkens Ave,Baltimore,MD,21229,215000,5,2.0,CATONSVILLE,2387,9800,1923,,90,,Sold,,,https://www.redfin.com/MD/Baltimore/4134-Wilkens-Ave-21229/home/9077971,BRIGHT MLS,MDBC488964,N,Y,39.2679533,-76.6900477
PAST SALE,April-20-2022,Single Family Residential,2602 Hamilton Ave,Baltimore,MD,21214,320000,5,3.5,Ward 27,1688,7235,1926,,190,,Sold,,,https://www.redfin.com/MD/Baltimore/2602-Hamilton-Ave-21214/home/11186654,BRIGHT MLS,MDBA2036958,N,Y,39.3556077,-76.5648303
PAST SALE,,Single Family Residential,2508 Ailsa Ave,Baltimore,MD,21214,320000,,2.0,,2002,7148,1915,,160,,,,,https://www.redfin.com/MD/Baltimore/2508-Ailsa-Ave-21214/home/11143917,,,N,Y,39.3499388,-76.571442
PAST SALE,March-28-2022,Single Family Residential,6001 Glenoak Ave,Baltimore,MD,21214,338000,5,3.5,Ward 27,2142,8485,1924,,158,,Sold,,,https://www.redfin.com/MD/Baltimore/6001-Glenoak-Ave-21214/home/11130939,BRIGHT MLS,MDBA2031328,N,Y,39.3551825,-76.5503359
PAST SALE,,Single Family Residential,5025 Gwynn Oak Ave,Baltimore,MD,21207,395000,,3.5,,3100,21267,1925,,127,,,,,https://www.redfin.com/MD/Baltimore/5025-Gwynn-Oak-Ave-21207/home/11215914,,,N,Y,39.3301608,-76.7012067
PAST SALE,November-19-2021,Single Family Residential,3611 Mohawk Ave,Baltimore,MD,21207,375000,5,3.0,Ward 28,2520,8747,1925,,149,,Sold,,,https://www.redfin.com/MD/Baltimore/3611-Mohawk-Ave-21207/home/11214802,BRIGHT MLS,MDBA2008768,N,Y,39.3316286,-76.6921387
PAST SALE,February-11-2022,Single Family Residential,5200 Tramore Rd,Baltimore,MD,21214,284000,5,2.0,Ward 27,1870,10615,1915,,152,,Sold,,,https://www.redfin.com/MD/Baltimore/5200-Tramore-Rd-21214/home/11144726,BRIGHT MLS,MDBA2019386,N,Y,39.3513024,-76.5688487
PAST SALE,February-26-2021,Townhouse,1612 Park Ave,Baltimore,MD,21217,830000,5,5.5,Ward 14,5690,3484,1900,,146,,Sold,,,https://www.redfin.com/MD/Baltimore/1612-Park-Ave-21217/home/10880643,BRIGHT MLS,MDBA520676,N,Y,39.3085922,-76.6267063
PAST SALE,,Townhouse,142 W Lanvale St,Baltimore,MD,21217,524900,,4.5,,3536,1950,1900,,148,,,,,https://www.redfin.com/MD/Baltimore/142-W-Lanvale-St-21217/home/10832504,,,N,Y,39.3067375,-76.622532
PAST SALE,June-16-2020,Single Family Residential,530 Murdock Rd,Baltimore,MD,21212,530000,5,2.5,ANNESLIE,2460,9375,1939,,215,,Sold,,,https://www.redfin.com/MD/Baltimore/530-Murdock-Rd-21212/home/9645581,BRIGHT MLS,MDBC492148,N,Y,39.3773194,-76.6051892
PAST SALE,,Single Family Residential,2727 Chesley Ave,Baltimore,MD,21234,209999,,2.0,,1986,5998,1955,,106,,,,,https://www.redfin.com/MD/Baltimore/2727-Chesley-Ave-21234/home/11189876,,,N,Y,39.3673658,-76.5548063
PAST SALE,,Single Family Residential,4412 Groveland Ave,Baltimore,MD,21215,230600,,2.0,,2070,7497,1927,,111,,,,,https://www.redfin.com/MD/Baltimore/4412-Groveland-Ave-21215/home/11214058,,,N,Y,39.340974,-76.695375
