SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE https://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
PAST SALE,June-29-2021,Townhouse,6443 Cloister Gate Dr,Baltimore,MD,21212,925000,5,3.5,THE CLOISTERS AT CHARLES,4400,,1995,,210,681,Sold,,,https://www.redfin.com/MD/Baltimore/6443-Cloister-Gate-Dr-21212/unit-6443/home/9681320,BRIGHT MLS,MDBC526930,N,Y,39.3829098,-76.6247172
PAST SALE,,Single Family Residential,1016 St Georges Rd,Baltimore,MD,21210,1250000,,4.5,,3641,22346,1988,,343,,,,,https://www.redfin.com/MD/Baltimore/1016-St-Georges-Rd-21210/home/11160005,,,N,Y,39.3650446,-76.6423993
PAST SALE,,Single Family Residential,5814 Pimlico Rd,Baltimore,MD,21209,512000,,2.5,,2619,9278,1993,,195,,,,,https://www.redfin.com/MD/Baltimore/5814-Pimlico-Rd-21209/home/11179953,,,N,Y,39.3624765,-76.6725949
PAST SALE,July-27-2021,Single Family Residential,2739 Moores Valley Dr,Baltimore,MD,21209,550000,5,3.5,GREENSPRING EAST,2718,14374,1990,,202,34,Sold,,,https://www.redfin.com/MD/Baltimore/2739-Moores-Valley-Dr-21209/home/9548315,BRIGHT MLS,MDBC527368,N,Y,39.3855143,-76.6817187
PAST SALE,September-10-2020,Single Family Residential,25 Diamond Crest Ct,Baltimore,MD,21209,585000,5,3.5,GABLES AT SUMMIT CHASE,3320,10566,1989,,176,19,Sold,,,https://www.redfin.com/MD/Baltimore/25-Diamond-Crest-Ct-21209/home/9549609,BRIGHT MLS,MDBC506062,N,Y,39.3809745,-76.6751776
PAST SALE,,Single Family Residential,5713 St Albans Way,Baltimore,MD,21212,700000,,2.5,,1712,10541,1984,,409,,,,,https://www.redfin.com/MD/Baltimore/5713-St-Albans-Way-21212/home/11212113,,,N,Y,39.3670768,-76.6210765
PAST SALE,May-5-2022,Single Family Residential,7533 Stream Crossing Rd,Baltimore,MD,21209,750000,5,3.5,GREENSPRING EAST,3860,20952,1995,,194,34,Sold,,,https://www.redfin.com/MD/Baltimore/7533-Stream-Crossing-Rd-21209/home/9548973,BRIGHT MLS,MDBC2028200,N,Y,39.3907298,-76.6841364
PAST SALE,December-15-2021,Single Family Residential,6202 Thelma Garth,Baltimore,MD,21212,630000,5,3.0,Ward 27,3304,9104,2000,,191,,Sold,,,https://www.redfin.com/MD/Baltimore/6202-Thelma-Garth-21212/home/11211978,BRIGHT MLS,MDBA2000839,N,Y,39.3706034,-76.6202641
PAST SALE,,Single Family Residential,6 Jacobo Ln,Towson,MD,21286,430000,,3.5,,2614,17511,1984,,164,,,,,https://www.redfin.com/MD/Towson/6-Jacobo-Ln-21286/home/9677852,,,N,Y,39.3876238,-76.5823904
PAST SALE,September-22-2021,Single Family Residential,7516 Belmont Ave,Baltimore,MD,21224,370000,5,3.5,EASTERN HEIGHTS,3136,9592,1998,,118,,Sold,,,https://www.redfin.com/MD/Baltimore/7516-Belmont-Ave-21224/home/9356998,BRIGHT MLS,MDBC2005996,N,Y,39.289229,-76.513541
PAST SALE,April-12-2021,Single Family Residential,2101 Uffington Rd,Baltimore,MD,21209,749000,5,3.5,Ward 27,3658,19297,1988,,205,,Sold,,,https://www.redfin.com/MD/Baltimore/2101-Uffington-Rd-21209/home/11164691,BRIGHT MLS,MDBA546140,N,Y,39.3647803,-76.6615079
PAST SALE,,Single Family Residential,1302 Argonne Dr,Baltimore,MD,21218,410000,,3.5,,3290,8372,1994,,125,,,,,https://www.redfin.com/MD/Baltimore/1302-Argonne-Dr-21218/home/11191585,,,N,Y,39.3397266,-76.5952022
PAST SALE,December-8-2021,Single Family Residential,24 Emerald Ridge Ct,Baltimore,MD,21209,685000,5,2.0,GABLES AT SUMMIT CHASE,2880,9750,1991,,238,19,Sold,,,https://www.redfin.com/MD/Baltimore/24-Emerald-Ridge-Ct-21209/home/9550405,BRIGHT MLS,MDBC2019656,N,Y,39.3831022,-76.6771508
PAST SALE,May-3-2021,Single Family Residential,2721 Moores Valley Dr,Baltimore,MD,21209,520000,5,3.5,GREENSPRING EAST,3208,11761,1992,,162,33,Sold,,,https://www.redfin.com/MD/Baltimore/2721-Moores-Valley-Dr-21209/home/9548352,BRIGHT MLS,MDBC513238,N,Y,39.3864011,-76.6794181
PAST SALE,,Single Family Residential,6211 Green Meadow Way,Baltimore,MD,21209,685000,,4.5,,3708,8319,1999,,185,,,,,https://www.redfin.com/MD/Baltimore/6211-Green-Meadow-Way-21209/home/11164168,,,N,Y,39.369029,-76.6723806
PAST SALE,September-25-2020,Single Family Residential,3510 Kenyon Ave,Baltimore,MD,21213,210000,5,3.0,Ward 26,1536,19253,1991,,137,,Sold,,,https://www.redfin.com/MD/Baltimore/3510-Kenyon-Ave-21213/home/11103048,BRIGHT MLS,MDBA504710,N,Y,39.3205428,-76.5628408
PAST SALE,July-12-2021,Single Family Residential,7510 Stream Crossing Rd,Baltimore,MD,21209,680000,5,3.5,GREENSPRING EAST,4164,14157,1997,,163,25,Sold,,,https://www.redfin.com/MD/Baltimore/7510-Stream-Crossing-Rd-21209/home/9548951,BRIGHT MLS,MDBC531630,N,Y,39.3901644,-76.6816736
