,SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE https://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE,ClosestHospital,ClosestGrocery,ClosestParks,ClosestWhole
1964,PAST SALE,March-19-2021,Single Family Residential,6617 Loch Hill Rd,Baltimore,MD,21239,309900,3.0,2.0,LOCH HILL,1525.0,7700.0,1951.0,,203.0,,Sold,,,https://www.redfin.com/MD/Baltimore/6617-Loch-Hill-Rd-21239/home/9655408,BRIGHT MLS,MDBC519634,N,Y,39.3760209,-76.5821672,2.049441867076464,2.580583134360034,4.752645822445219,3.202557860660461
1965,PAST SALE,March-31-2021,Townhouse,1610 Barclay St,Baltimore,MD,21202,296000,3.0,2.0,Ward 12,2040.0,,1920.0,,145.0,,Sold,,,https://www.redfin.com/MD/Baltimore/1610-Barclay-St-21202/home/10843978,BRIGHT MLS,MDBA539196,N,Y,39.3083948,-76.6109553,0.6744546865451478,0.780676978966273,1.7144856229002656,0.9063503122437118
1966,PAST SALE,April-29-2021,Townhouse,1538 William St,Baltimore,MD,21230,350000,3.0,2.5,Baltimore,1300.0,635.0,1900.0,,269.0,,Sold,,,https://www.redfin.com/MD/Baltimore/1538-William-St-21230/home/11016594,BRIGHT MLS,MDBA540174,N,Y,39.2719974,-76.6100978,2.187615910659875,1.5263601601290626,0.33554017355050697,1.5263601601290626
1967,PAST SALE,April-25-2022,Townhouse,1405 Kingsway Rd,Baltimore,MD,21218,255000,3.0,2.5,Ward 27,1600.0,1965.0,1941.0,,159.0,,Sold,,,https://www.redfin.com/MD/Baltimore/1405-Kingsway-Rd-21218/home/11191489,BRIGHT MLS,MDBA2037202,N,Y,39.344031,-76.593962,1.6613860355565695,1.3130375300455301,1.3675161335086485,1.3130375300455301
1968,PAST SALE,March-11-2022,Single Family Residential,5607 Anthony Ave,Baltimore,MD,21206,271900,3.0,1.5,Ward 26,2160.0,5271.0,1956.0,,126.0,,Sold,,,https://www.redfin.com/MD/Baltimore/5607-Anthony-Ave-21206/home/11093887,BRIGHT MLS,MDBA2026728,N,Y,39.3385155,-76.5432913,1.6991352346593984,1.646053578231664,4.501919781105755,5.519020491136724
1969,PAST SALE,,Single Family Residential,506 N Rock Glen Rd,Baltimore,MD,21229,325000,,2.5,,2082.0,5127.0,1928.0,,156.0,,,,,https://www.redfin.com/MD/Baltimore/506-N-Rock-Glen-Rd-21229/home/11220740,,,N,Y,39.2870561,-76.7094132,3.471964789148339,6.38734720473451,5.789550928007669,8.702928326328687
1970,PAST SALE,December-23-2021,Single Family Residential,1810 Wilmington Ave,Baltimore,MD,21230,220000,3.0,2.0,Ward 25,1288.0,5998.0,1906.0,,171.0,,Sold,,,https://www.redfin.com/MD/Baltimore/1810-Wilmington-Ave-21230/home/11035639,BRIGHT MLS,MDBA2000849,N,Y,39.2654535,-76.6547063,1.823150729995453,2.6944802669012633,1.8092921228203878,5.165357733035853
1971,PAST SALE,,Townhouse,5108 Edgar Ter,Baltimore,MD,21214,179000,,1.5,,1750.0,3600.0,1942.0,,102.0,,,,,https://www.redfin.com/MD/Baltimore/5108-Edgar-Ter-21214/home/11126079,,,N,Y,39.3441535,-76.5583622,2.7841942463733815,1.2262429472693077,3.771038450325267,4.268934019830537
1972,PAST SALE,,Townhouse,1631 N Calvert St,Baltimore,MD,21202,325000,,3.5,,2910.0,1220.0,1900.0,,112.0,,,,,https://www.redfin.com/MD/Baltimore/1631-N-Calvert-St-21202/home/10843924,,,N,Y,39.3084992,-76.6134808,0.5744127613226612,0.6055648660022158,1.6089395059946043,0.9993971699617205
1973,PAST SALE,,Townhouse,1530 Roundhill Rd,Baltimore,MD,21218,245000,,3.0,,1752.0,2784.0,1941.0,,140.0,,,,,https://www.redfin.com/MD/Baltimore/1530-Roundhill-Rd-21218/home/11839320,,,N,Y,39.3380999,-76.5920988,2.1328772577447968,1.3210201134385593,1.3669706880948331,1.3210201134385593
